spark.reducer.maxSizeInFlight,spark.default.parallelism,spark.shuffle.file.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.scheduler.revive.interval,spark.executor.memoryOverhead,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.reducer.maxReqsInFlight,spark.broadcast.compress,spark.memory.fraction,spark.shuffle.sort.bypassMergeThreshold,runtime
60,339,24,1674111797,1791961788,709,869,116,40,1752077500,1,0.823809524,174,225.4039604
67,411,18,1930005214,1714291073,741,452,120,42,1248777389,1,0.823809524,174,222.396805
