spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.default.parallelism,spark.executor.instances,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.reducer.maxReqsInFlight,spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.blockSize,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.scheduler.revive.interval,spark.locality.wait,spark.memory.storageFraction,spark.executor.memory,spark.memory.offHeap.size,runtime,
58,18,229,7,1321521045,1937363824,485,68,1697201784,4,46,178,49,0.538095238,653,4,0.70952381,5,363,233.0148,
61,18,383,5,1457312777,2076201589,462,61,1706835576,4,39,178,49,0.538095238,653,4,0.70952381,5,489,232.5318,
