,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold
100,187.298,40.5387735401701,0.17478486415452787,0.6629748906002262,421.7353855649412,3.1681050042958585,7.976264902893849,4.425653406332465,476.96342798501723,63.22067610276274,41.532191004353166,8.468784968066682,1607747803.5762675,0.8138435864148328,0.7984127504076248,550.8935076606283,0.8915210931807589,0.14197987966299475,1991528756.0083466,1130524505.0693467,37.522200479309625,0.15137246119595837,503.9700085716779,0.538329583938233,45.74332942994231,4.636234723417984,264.20346854187846,0.708425209612938,1.9248453152731182
101,150.357,39.54235841217911,0.6766872980913667,0.4154108043354964,206.00686709232716,3.8928077402995886,7.657572192028847,6.632925929988314,716.9664512792381,83.59908207797275,90.44228228890843,8.472128052703912,1987419726.137092,0.8058059728735545,0.7611662067872387,513.7513157233203,0.6169762045746614,0.7240085591072222,1685140873.9196887,1974878381.9419806,41.59572425262874,0.36578644572537966,737.6227057427191,0.4222112964116914,25.751762635736917,3.36830295447324,250.36424777792178,0.7487393669602511,2.294137081127628
102,156.909,42.51972907886084,0.9640817836576416,0.829462933646009,304.3154957940154,3.991620076754734,7.857818310205378,5.652848507426123,497.2148359327795,109.93673731986483,118.72637155075604,8.920272510402395,1884476267.7552366,0.8223217256461415,0.7448112694855931,563.3869924630596,0.8189621259606437,0.7117008106654534,1523902512.9093816,2129482561.11656,42.95082933690372,0.28298672888829746,896.7020018459052,0.3044366293757149,28.373149565354847,4.0068692139520685,307.47519681464524,0.6870477600955378,3.877590944858061
103,154.692,56.454452804004234,0.8440263644798144,0.7966962729584961,348.59078488950325,3.8852045158183715,7.397695371528492,4.825627408186648,720.6269496808223,106.26315656926356,72.46890412654551,8.767171758628805,1925662417.3535037,0.740793716822073,0.7262562614687279,625.2063020812686,0.8212910943056353,0.46869768067589535,1715807393.8533573,1522285204.499841,32.74333228787549,0.11393390455049646,509.90142911630375,0.6630348727127168,20.092656388023634,1.8912926013035851,289.5487199278157,0.5465851517625062,2.0220241654770237
104,159.248,54.55240408556351,0.6508666716325242,0.9690467306769065,446.6135593038733,3.916898770138978,7.657839657181995,5.788870953491495,607.6478967994241,59.87950654102343,93.63350063057862,8.302368266805587,1686811440.405083,0.8506925926305954,0.9089644312184895,715.145456803923,0.8627422920737488,0.36716090621715436,1657827631.5179243,1959879395.1063838,43.64660871424182,0.551937905560639,800.2529054904777,0.5880898453835945,47.59257927585209,1.5028636633048253,304.32620975276706,0.7464617367691018,2.627955429429821
105,160.121,62.93423600899513,0.7645793056581007,0.9142319462324714,317.3898642268805,3.78900692346007,7.67816097873618,3.0864327623864884,580.8319455631258,61.347754727599934,50.58748258829546,8.367916825879467,1780160843.8955507,0.7428482726842989,0.7872440333008567,622.9596320879584,0.7516533628849504,0.09702903476818403,1877253656.6233606,1139083246.0129747,63.6329183570862,0.25698105557782114,653.6591043489245,0.7747468420971427,24.15863811735022,2.6856632642659015,267.1773164803384,0.7888402518015438,2.184607913744352
106,187.044,59.80656141200632,0.4226832872160343,0.3900862459675529,239.34074411127028,3.94603308901082,6.914071252907423,4.050132583150066,642.0067355885276,74.61135080432115,40.814473381296224,9.518637431862686,1640324946.9332213,0.7560985634333417,0.9958946493934405,708.3180129102739,0.7575674748732456,0.9554840359918235,1655336936.3750281,1476438599.695728,41.486810447001574,0.10550925983277848,504.0321015232313,0.9352689476622529,23.088589691648938,2.320639250820033,166.06599610983625,0.6577815476110563,1.4600288490481086
107,155.985,54.303120880584245,0.26394799007284264,0.7093584725318608,494.23956897378434,3.5714722255387574,7.95845110047386,5.187312416818145,678.9261577138764,70.43372615864149,65.82927033887039,9.204071557268646,1588226096.6727073,0.8141568163090591,0.6172417259282902,515.5872136698986,0.6812131631509728,0.8683390069684104,2126930247.217659,1594325353.951785,38.12254864353579,0.8299018712229438,602.5024372227787,0.18487802555644883,40.4522308401167,2.276387251630165,197.03830449373527,0.6162226548000278,1.3892635544837866
108,161.461,40.36373600624875,0.7974386690844689,0.6653426540519487,239.0491545818291,3.5786126655625976,7.643085215447355,5.956083888720601,625.9699542978018,116.21765668319135,93.83846384481173,8.52723126651076,1929528847.710896,0.8914324720425792,0.9692863373743901,623.5755460518683,0.8451337854265693,0.3598787219596651,1884194200.7125359,1952012017.8015633,28.10557915815614,0.3598420966629734,554.8159556892101,0.0013960955771483707,22.22176931670545,2.774978679211708,344.76501950397994,0.781692917256676,1.249281445269621
109,163.563,40.810988115338425,0.026780446808066793,0.5364252819198442,374.70414344334847,3.8327672989588715,7.936693711964244,6.906501535011785,399.6477489380663,58.30031361562402,66.83230660516631,7.886933142000329,2121241946.62213,0.7732344693204072,0.5542474245783225,517.4720285608339,0.7291832849037712,0.49094572602761954,1542185775.5871346,1502815052.426358,26.88804420475661,0.11740653352770569,709.7862409861824,0.22777656108471245,45.693138323156006,1.8026511918047454,280.86701355908997,0.719642007042913,3.821256159996418
110,155.111,57.32000742730877,0.8971238653088772,0.7776409548787865,391.06864619970753,3.885188051699486,6.736344769387607,3.066978664311112,533.8527228388311,107.70075938011239,93.6743253455773,9.337131635645454,1603256352.3001199,0.7296780013096238,0.8523222900828921,545.9060145975252,0.824125590631172,0.4994295736842398,1891247533.7857416,1119961603.4992428,60.728810706093284,0.06499299948194337,712.1568422689857,0.29990837999266784,31.60521846771114,1.7152922728126438,259.38120353786263,0.6056989330503781,1.0050349219572197
