spark.executor.cores,spark.memory.fraction,runtime
6.0,0.753968253968254,258.45353518153496
7.0,0.5380952380952381,252.542960573935
7.0,0.5380952380952381,252.542960573935
7.0,0.5571428571428572,250.0620250728154
7.0,0.7476190476190476,255.0745641373073
6.0,0.5507936507936508,259.08884302509426
6.0,0.753968253968254,258.45353518153496
7.0,0.7476190476190476,255.0745641373073
7.0,0.7666666666666666,255.4821762728477
6.0,0.7603174603174603,258.45353518153496
6.0,0.8301587301587301,255.0575917125598
7.0,0.5571428571428572,250.0620250728154
7.0,0.7476190476190476,255.0745641373073
6.0,0.5444444444444444,259.08884302509426
6.0,0.8301587301587301,255.0575917125598
7.0,0.5444444444444444,252.542960573935
6.0,0.6396825396825396,256.4952121234331
7.0,0.5444444444444444,252.542960573935
7.0,0.5825396825396826,261.4391846590424
6.0,0.8301587301587301,255.0575917125598
7.0,0.5507936507936508,250.0620250728154
7.0,0.5571428571428572,250.0620250728154
7.0,0.5507936507936508,250.0620250728154
6.0,0.5444444444444444,259.08884302509426
6.0,0.5380952380952381,259.08884302509426
6.0,0.7476190476190476,258.45353518153496
7.0,0.7603174603174603,255.4821762728477
6.0,0.8301587301587301,255.0575917125598
7.0,0.5571428571428572,250.0620250728154
7.0,0.5444444444444444,252.542960573935
