,spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,runtime
0,0.65,4,3,5,0.66,22,2098217526,375,37,571,2716.4837100000004
1,0.77,1,4,7,0.68,29,1671330739,409,34,816,2799.5541000000017
2,0.6600000262260437,4.0,3.0,5.0,0.6600000262260437,22.0,2059798912.0,376.0,37.0,572.0,2715.9359400000003
3,0.6600000262260437,4.0,3.0,5.0,0.6700000166893005,23.0,2066301184.0,376.0,36.0,572.0,2715.3622100000007
4,0.6600000262260437,4.0,3.0,5.0,0.6600000262260437,23.0,2057718784.0,384.0,37.0,568.0,2715.295580000001
5,0.6600000262260437,4.0,3.0,5.0,0.6600000262260437,21.0,2147483648.0,379.0,36.0,578.0,2716.9528900000005
6,0.74,3.0,5.0,5.0,0.71,34.0,1288057573.0,342.0,40.0,798.0,2797.8697100000018
7,0.67,3.0,5.0,4.0,0.66,47.0,1551668542.0,356.0,59.0,509.0,2796.1870400000016
