spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.compress,spark.kryoserializer.buffer,spark.memory.offHeap.size,spark.kryoserializer.buffer.max,spark.executor.instances,spark.broadcast.blockSize,spark.rdd.compress,spark.default.parallelism,spark.scheduler.mode,spark.scheduler.revive.interval,spark.memory.storageFraction,spark.shuffle.file.buffer,spark.reducer.maxReqsInFlight,spark.shuffle.sort.bypassMergeThreshold,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.locality.wait,spark.memory.fraction,spark.reducer.maxSizeInFlight,spark.executor.cores,spark.storage.memoryMapThreshold,spark.executor.memory,spark.shuffle.compress,runtime
1.0,0.0,76.0,586.0,42.0,6.0,34.0,0.0,358.0,1.0,928.0,0.626984126984127,24.0,1666772736.0,229.0,1609577477.0,1863328262.0,504.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
1.0,0.0,76.0,62.0,108.0,5.0,42.0,0.0,353.0,1.0,928.0,0.626984126984127,24.0,1646145280.0,229.0,1609577473.0,1863330438.0,384.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
4.0,0.0,76.0,62.0,108.0,5.0,40.0,1.0,351.0,1.0,758.0,0.626984126984127,24.0,1646014208.0,225.0,1620062210.0,1863330310.0,384.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
2.0,1.0,76.0,30.0,114.0,7.0,40.0,0.0,203.0,1.0,928.0,0.626984126984127,24.0,1646014208.0,225.0,1620052098.0,1863330438.0,384.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
2.0,0.0,76.0,461.0,40.0,4.0,42.0,0.0,358.0,1.0,928.0,0.626984126984127,24.0,1646014208.0,225.0,1611663492.0,1863330438.0,384.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
2.0,0.0,76.0,293.0,59.0,5.0,58.0,0.0,353.0,1.0,654.0,0.626984126984127,24.0,1646012160.0,223.0,1351616706.0,1863330310.0,384.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
2.0,0.0,76.0,542.0,115.0,4.0,50.0,0.0,353.0,1.0,928.0,0.6777777777777778,21.0,1666772480.0,223.0,1351616706.0,1863330438.0,384.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
2.0,1.0,76.0,310.0,59.0,5.0,58.0,0.0,363.0,1.0,654.0,0.626984126984127,24.0,1663510288.0,223.0,1609566401.0,1863330438.0,384.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
2.0,1.0,76.0,309.0,59.0,6.0,58.0,0.0,363.0,1.0,654.0,0.626984126984127,24.0,1663510288.0,223.0,1609566401.0,1863330438.0,384.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
1.0,1.0,76.0,510.0,42.0,8.0,42.0,1.0,351.0,1.0,928.0,0.626984126984127,24.0,1646030336.0,217.0,1607469249.0,1863330438.0,384.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
4.0,0.0,76.0,950.0,74.0,6.0,59.0,0.0,205.0,1.0,928.0,0.626984126984127,21.0,1663509776.0,223.0,1609566401.0,1863330438.0,384.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
