,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,runtime
0,265.99297625372975,3.5663683747048287,7.179488483764702,4.397167676389818,620.2671062595156,0.7223427035574222,0.6777398809728279,1826051960.7028747,41.6369158208802,47.86790957178454,-2716.336960000001
1,496.05420052475694,2.142419303080641,5.005366563636275,5.7592716465283775,699.7795052248596,0.8686323501643596,0.57704793750083,1545432694.5550966,60.98807772660408,41.02215557501536,-2795.644350000002
2,413.0,2.0,5.0,6.0,698.0,0.7599999904632568,0.6499999761581421,1566091904.0,61.0,39.0,-2795.777180000001
3,352.04651515700687,1.7782770312527538,7.885765277992592,5.038123631538513,538.0941905619998,0.7052444345224423,0.5534462275676156,1382175986.4515374,28.14624059181522,42.30314185306119,-2795.806160000001
4,420.0,2.0,5.0,6.0,696.0,0.7599999904632568,0.6399999856948853,1546636288.0,61.0,41.0,-2795.806560000001
5,270.4786092350405,3.2377562411493646,5.8573510013244245,4.080125297767461,622.6011244461616,0.6823038593029572,0.6694246533007249,1737397985.9944415,37.71184295557874,39.388692138875044,-2796.8492400000014
6,345.9575059778214,3.1440922994374563,7.0392250747115614,6.962727483549804,766.7546950852324,0.5817279152607406,0.6331629966578163,1211856221.2005877,24.999809610364057,44.3916597706138,-2797.0545800000004
7,498.4717374322219,3.3098758462286977,6.5898180666693005,3.8215193600816875,743.2327144178248,0.570280188682581,0.5409804876852686,1796569176.0152788,55.31720373195644,28.561055631620878,-2797.060220000001
8,486.2394357576476,1.2312871265815353,6.671555755962629,6.093578670722904,597.20764129425,0.566908767886981,0.549952090389277,1355843577.2816215,25.570597125766916,35.34356290352122,-2797.238750000002
9,292.1189803826157,2.7077476538910807,4.207283138125501,4.730596523410366,742.2134768483536,0.7050624040282509,0.5760350924159015,1446856239.9477859,71.16904767547007,25.254765771556578,-2798.4134800000015
10,352.47973940666225,1.9344399558298848,7.7924702804460315,4.462537804396068,752.3786176592977,0.6337750998481707,0.7951680500680859,1244435183.0301552,54.166978581988886,19.630399337317307,-2801.1478500000007
11,230.9067130890092,2.347809941987429,6.349207892032901,4.863152281530208,534.7836185254696,0.7827695753201128,0.5530067371631945,2048344295.4161325,58.012989078743686,45.970502274357244,-2807.0062300000013
12,280.45195687695133,1.3648674985890505,6.491444310510021,4.724482082144515,587.6287890158578,0.6934385279716476,0.5894932200870144,2112623908.705553,39.38805184459612,38.39361373640864,-2807.822400000001
13,278.6351243172276,3.009654255576771,5.983812905532311,3.1180418002642782,423.6508989868586,0.6290713522815329,0.6746504242606867,2084279427.1356318,33.29335351095003,33.92284007324642,-2811.404860000001
14,471.7347958176224,1.623735245622408,6.7021902652564265,6.307245827387211,512.8708848319183,0.5002018501106356,0.7529280134151459,2027727390.8450725,60.16555453095418,25.13734788014303,-2811.666330000001
15,413.7850037130409,2.241241139391946,4.8503452289778615,5.4242841483608775,408.8068662636944,0.7341725892850932,0.8735424684303739,2081493733.5344758,52.747772396926045,23.87998667477134,-2814.436630000001
16,332.0,3.0,7.0,4.0,628.0,0.7200000286102295,0.699999988079071,1833131008.0,42.0,45.0,-2799.661280000002
