spark.rdd.compress,spark.executor.memoryOverhead,runtime
1.0,1755.0,392.24166592684657
0.0,1755.0,392.24166592684657
1.0,1126.0,392.24166592684657
0.0,1755.0,392.24166592684657
1.0,1755.0,392.24166592684657
0.0,910.0,392.24166592684657
1.0,1755.0,392.24166592684657
1.0,1110.0,392.24166592684657
1.0,881.0,392.24166592684657
1.0,1225.0,392.24166592684657
0.0,1294.0,392.24166592684657
1.0,1214.0,392.24166592684657
1.0,961.0,392.24166592684657
0.0,654.0,392.24166592684657
0.0,641.0,392.24166592684657
1.0,833.0,392.24166592684657
1.0,513.0,392.24166592684657
1.0,1755.0,392.24166592684657
0.0,833.0,392.24166592684657
0.0,1755.0,392.24166592684657
1.0,1350.0,392.24166592684657
0.0,862.0,392.24166592684657
0.0,1755.0,392.24166592684657
0.0,1755.0,392.24166592684657
0.0,830.0,392.24166592684657
0.0,830.0,392.24166592684657
0.0,1755.0,392.24166592684657
0.0,865.0,392.24166592684657
0.0,1755.0,392.24166592684657
1.0,889.0,392.24166592684657
