spark.memory.fraction,spark.maxRemoteBlockSizeFetchToMem,spark.executor.memoryOverhead,spark.reducer.maxReqsInFlight,spark.executor.instances,spark.default.parallelism,spark.shuffle.sort.bypassMergeThreshold,runtime
0.626984126984127,1620198783.0,396.0,1675501952.0,8.0,341.0,212.0,215.583
0.6460317460317461,1658736084.0,411.0,1742700040.0,8.0,340.0,211.0,215.583
0.7857142857142857,2046597310.0,654.0,1662030854.0,8.0,343.0,345.0,215.583
0.753968253968254,2033329942.0,566.0,1796972144.0,8.0,490.0,323.0,213.83933333333334
0.8047619047619048,2032332508.0,718.0,1796775508.0,8.0,499.0,323.0,213.83933333333334
0.6904761904761905,1325351742.0,390.0,1694742421.0,8.0,314.0,312.0,213.83933333333334
0.8111111111111111,1501973720.0,554.0,1675605803.0,8.0,317.0,312.0,213.83933333333334
0.861904761904762,1225657178.0,750.0,1791995524.0,8.0,242.0,308.0,213.83933333333334
0.6523809523809524,2139228225.0,513.0,2136784644.0,8.0,242.0,308.0,211.97342857142854
0.6396825396825396,1284994940.0,589.0,1759420839.0,8.0,322.0,312.0,211.97342857142854
0.6206349206349207,1150252916.0,423.0,1760569100.0,8.0,331.0,312.0,212.71733333333336
0.6206349206349207,1077494111.0,721.0,1834934664.0,8.0,491.0,319.0,212.71733333333336
0.626984126984127,1211318719.0,752.0,1834934284.0,8.0,491.0,319.0,211.97342857142854
0.7095238095238096,1127079274.0,710.0,1713029259.0,8.0,289.0,308.0,213.83933333333334
0.6333333333333333,1725184848.0,546.0,1748740495.0,8.0,244.0,324.0,211.97342857142854
0.6206349206349207,1678924379.0,548.0,1748707727.0,8.0,404.0,324.0,212.71733333333336
0.6460317460317461,1643277348.0,848.0,1813727084.0,8.0,309.0,313.0,211.97342857142854
0.6460317460317461,1173497991.0,856.0,1836594968.0,8.0,242.0,335.0,211.97342857142854
0.6460317460317461,1702307860.0,860.0,1843405531.0,8.0,242.0,332.0,211.97342857142854
0.626984126984127,2011073054.0,454.0,1880517932.0,8.0,380.0,322.0,211.97342857142854
0.6523809523809524,1751784386.0,428.0,1836013123.0,8.0,354.0,329.0,211.97342857142854
0.6460317460317461,1278465691.0,615.0,2000070144.0,8.0,467.0,316.0,211.97342857142854
0.6206349206349207,1460347901.0,505.0,1728689384.0,8.0,324.0,308.0,212.71733333333336
0.7920634920634921,1147508486.0,662.0,1743606045.0,8.0,492.0,307.0,213.83933333333334
0.6460317460317461,2023311078.0,648.0,1691179390.0,8.0,493.0,332.0,211.97342857142854
0.7603174603174603,1080618810.0,667.0,1736327259.0,8.0,430.0,324.0,213.83933333333334
0.626984126984127,2133643625.0,849.0,1721385051.0,8.0,495.0,312.0,211.97342857142854
0.7857142857142857,1920644723.0,638.0,1684248859.0,8.0,289.0,325.0,213.83933333333334
0.6460317460317461,1682323104.0,744.0,2012533484.0,8.0,429.0,335.0,211.97342857142854
0.6396825396825396,1616255156.0,744.0,1962201837.0,8.0,354.0,335.0,211.97342857142854
