spark.memory.fraction,spark.reducer.maxReqsInFlight,spark.executor.instances,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.sort.bypassMergeThreshold,runtime
0.6460317460317461,1646180096.0,8.0,1621138175.0,232.0,204.79377790398496
0.6206349206349207,1728771632.0,8.0,1438956958.0,161.0,208.54869966863552
0.7603174603174603,1763099794.0,8.0,1248835665.0,169.0,198.21199385693902
0.7984126984126985,1761460114.0,8.0,1218618159.0,204.0,199.09034366632142
0.8746031746031746,1648042013.0,8.0,1175076969.0,209.0,199.37874944653925
0.8873015873015873,2121717714.0,8.0,1393468040.0,262.0,203.63699988580706
0.861904761904762,1741368271.0,8.0,1336423428.0,154.0,198.21199385693902
0.861904761904762,2146774318.0,8.0,1302097737.0,229.0,203.94766425031577
0.7666666666666666,1640723435.0,8.0,1335710189.0,204.0,200.7346749964161
0.861904761904762,1875014573.0,8.0,1337807340.0,203.0,200.82998093687615
0.8555555555555556,2110899787.0,8.0,1314085685.0,179.0,199.95163112749376
0.8809523809523809,2101343339.0,8.0,1313850890.0,181.0,199.95163112749376
0.7920634920634921,1994782156.0,8.0,1246749722.0,185.0,199.95163112749376
0.7793650793650794,1783685161.0,8.0,1313702899.0,181.0,198.21199385693902
0.8174603174603174,2031512138.0,8.0,1247236828.0,181.0,199.95163112749376
0.8428571428571429,1670065779.0,8.0,1430213328.0,181.0,198.3904142014314
0.7857142857142857,1760015626.0,8.0,1163436055.0,200.0,199.09034366632142
0.6460317460317461,1661771546.0,8.0,1389581499.0,181.0,202.06784292348482
0.6904761904761905,1767422923.0,8.0,1216173284.0,155.0,203.12413974911715
0.8936507936507936,1766136009.0,8.0,1164195072.0,155.0,198.21199385693902
0.753968253968254,2098662487.0,8.0,1248678649.0,153.0,199.95163112749376
0.7793650793650794,1673905528.0,8.0,1248678841.0,155.0,198.3904142014314
0.7412698412698413,1790425623.0,8.0,1314739114.0,155.0,198.21199385693902
0.7412698412698413,1765630668.0,8.0,1407639472.0,155.0,198.21199385693902
0.7412698412698413,1676200326.0,8.0,1348105809.0,155.0,198.3904142014314
0.7666666666666666,2005426613.0,8.0,1416656449.0,155.0,199.95163112749376
0.8936507936507936,1994532770.0,8.0,1450365497.0,155.0,199.95163112749376
0.7603174603174603,2028817061.0,8.0,1079783464.0,190.0,200.82998093687615
0.6904761904761905,1758428290.0,8.0,1081882791.0,190.0,204.00248955849955
0.8555555555555556,1642815011.0,8.0,1098660643.0,190.0,200.7346749964161
