,loss,x1,x2,x3,x4,x5,x6
1,43.33384641068528,0.7932984093410913,2,4,4,0.5405480013441938,32
2,38.0784994775111,0.5712408845628695,2,4,7,0.5072585929482342,24
3,43.20500932185144,0.6888592170626872,3,5,6,0.5161501047887558,28
4,48.33476553091523,0.8005186768953056,3,6,5,0.5342468540199248,33
5,60.78734528796798,0.8951676705332505,3,5,6,0.8921776174347311,45
6,60.422569126657514,0.5492719349846231,3,6,4,0.8732971916728921,46
7,49.436032476276495,0.5600622075607513,2,5,6,0.8759702687157398,35
8,42.35555922005088,0.614291174018359,2,3,4,0.7412680460325187,32
9,42.133322518931934,0.6112295712966307,3,4,4,0.5220929476352996,30
10,35.42893844122798,0.8265569677605918,1,5,7,0.6023814734673862,21
11,60.31820348162049,0.5596575298948484,2,5,6,0.7585459517256452,46
12,57.46359354835222,0.5836317261175438,2,3,7,0.8799618222346816,44
13,38.4179482167955,0.6700187168297935,3,5,6,0.7479294999657065,23
14,55.22479513797162,0.5873169867159259,2,6,6,0.6374781512556917,40
15,37.64306527101534,0.7887164215675161,1,6,4,0.8543488494478222,25
16,39.278742875151686,0.6394756258146107,1,4,6,0.6392672493370759,27
17,33.7012104599458,0.813888788309673,1,5,6,0.8873216716361235,20
18,56.3920842182348,0.6275286253985292,1,3,6,0.7645555928362673,45
19,49.143866509162194,0.6110415280612553,2,3,4,0.5328249811009373,39
20,49.54823829963646,0.8206715000425584,3,3,4,0.7275667995939039,38
21,34.33832487665434,0.7417388452200206,1,5,7,0.5965860314343174,20
22,34.5649907987943,0.7423495918468743,1,5,7,0.8226412069474255,20
23,32.46877928072775,0.8936220646630647,1,5,5,0.5751572160646861,20
24,59.57604893644323,0.8983499458500492,1,5,5,0.6776989905931743,47
25,32.65258500107794,0.851173945367997,1,5,5,0.8014110557099386,20
26,49.659278085162214,0.8534323373115648,1,5,5,0.8058457478506474,37
27,48.55822802902868,0.8647616525254967,1,5,5,0.6934663765031892,36
28,41.561038256986606,0.7598281919272155,1,5,5,0.8012100650593907,29
29,52.08681125063828,0.5121445365769943,1,4,5,0.5746667140612806,41
30,30.538989023453578,0.8756006255592859,1,5,5,0.663388397894292,18
31,29.533112976498607,0.880435354908762,1,4,5,0.6526776215898441,18
32,29.427265265470034,0.7745222340058542,1,4,5,0.6527430314641778,18
33,29.357760633998385,0.7135275823639818,1,4,5,0.6442330516344039,18
34,33.3203911165871,0.7083689431232175,1,4,5,0.6120221734638854,22
35,29.421111975358897,0.7075132784424333,1,4,5,0.7135986969164642,18
36,56.42267321388906,0.7051265426837454,3,4,5,0.717546671205317,43
37,30.369873972908096,0.6763194783690737,1,4,5,0.6935544945390241,19
38,30.4415735097959,0.723959661961939,3,4,5,0.717613847833961,17
39,48.429607579060956,0.6581528242628893,2,4,7,0.7714547547980669,34
40,53.1613456355859,0.5362107053028327,1,4,5,0.6251349302830724,42
41,31.26712556835644,0.697072962682497,3,6,5,0.5700526056739448,16
42,42.20299558244588,0.6509558374757174,2,4,4,0.5520397449701606,31
43,41.40478868260479,0.7286071878326933,1,4,7,0.6761814947720923,28
44,39.4710350872406,0.7638013073975136,1,6,5,0.7072337798430851,26
45,30.529820584248878,0.6790860481495289,2,4,5,0.8507345360993483,18
46,45.4988269952146,0.7160365633090329,3,4,4,0.7827904319055699,33
47,44.537466180986385,0.7980215582301963,1,3,7,0.7394446227561895,32
48,50.189417004681374,0.5955615896733915,2,6,6,0.5938554150079817,35
49,41.33644090884078,0.8349555486849403,1,4,5,0.5014853601558368,30
