spark.executor.memory,spark.shuffle.compress,spark.kryoserializer.buffer.max,spark.executor.memoryOverhead,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxSizeInFlight,spark.executor.cores,spark.memory.fraction,runtime
14.0,0.0,69.0,974.0,1732061376.0,2147483647.0,463.0,69.0,5.0,0.7285714285714285,285.98955555555557
14.0,0.0,128.0,1002.0,1395762729.0,1524464681.0,159.0,70.0,5.0,0.5444444444444444,285.98955555555557
14.0,0.0,128.0,1054.0,1155401309.0,1785123115.0,158.0,33.0,7.0,0.8873015873015873,285.98955555555557
14.0,0.0,128.0,1057.0,1126843058.0,1164602065.0,200.0,72.0,4.0,0.8873015873015873,285.98955555555557
12.0,0.0,128.0,1049.0,1155401280.0,2147483647.0,193.0,32.0,7.0,0.8873015873015873,285.98955555555557
14.0,0.0,128.0,1038.0,1127463568.0,1987498313.0,500.0,37.0,6.0,0.6904761904761905,285.98955555555557
13.0,1.0,105.0,1116.0,1478607500.0,2037207248.0,377.0,37.0,7.0,0.8873015873015873,285.98955555555557
14.0,1.0,43.0,995.0,1129968416.0,2147483647.0,193.0,31.0,6.0,0.8873015873015873,285.98955555555557
14.0,0.0,110.0,989.0,1153943592.0,1234856538.0,500.0,72.0,4.0,0.8873015873015873,285.98955555555557
12.0,0.0,96.0,1018.0,1129101040.0,1987129032.0,111.0,35.0,4.0,0.8111111111111111,285.98955555555557
14.0,0.0,105.0,1046.0,1522531100.0,2147483647.0,128.0,37.0,6.0,0.6904761904761905,285.98955555555557
14.0,0.0,120.0,1070.0,1522533021.0,2147483647.0,128.0,37.0,6.0,0.6904761904761905,285.98955555555557
14.0,0.0,110.0,1001.0,1433901515.0,1545805298.0,255.0,72.0,5.0,0.8809523809523809,285.98955555555557
13.0,0.0,88.0,967.0,1526103388.0,2064026016.0,340.0,59.0,6.0,0.6587301587301587,285.85
14.0,1.0,91.0,1001.0,1152958534.0,1217208990.0,388.0,37.0,6.0,0.6904761904761905,285.98955555555557
14.0,0.0,128.0,970.0,1935605980.0,1387953754.0,187.0,72.0,5.0,0.8809523809523809,285.98955555555557
13.0,0.0,76.0,990.0,1500476434.0,2147483647.0,340.0,59.0,5.0,0.6587301587301587,285.85
13.0,1.0,83.0,990.0,1502655503.0,2147483647.0,241.0,59.0,4.0,0.6523809523809524,285.85
12.0,0.0,128.0,967.0,1530257682.0,2147483647.0,365.0,44.0,5.0,0.5126984126984127,285.85
13.0,0.0,53.0,1007.0,1127735410.0,2147483647.0,332.0,72.0,5.0,0.607936507936508,285.98955555555557
12.0,0.0,128.0,1007.0,1127735282.0,2147483647.0,343.0,48.0,5.0,0.5888888888888889,285.98955555555557
14.0,0.0,128.0,1110.0,1523112914.0,1167970212.0,369.0,48.0,5.0,0.607936507936508,285.98955555555557
12.0,0.0,127.0,974.0,1493742771.0,2147483647.0,368.0,59.0,5.0,0.626984126984127,285.85
12.0,0.0,128.0,1058.0,1108704494.0,2147483647.0,303.0,72.0,6.0,0.6904761904761905,285.98955555555557
14.0,0.0,128.0,976.0,1151966363.0,2147483647.0,280.0,72.0,5.0,0.6904761904761905,285.98955555555557
14.0,1.0,128.0,987.0,1518527599.0,2147483647.0,320.0,72.0,5.0,0.5444444444444444,285.85
14.0,1.0,128.0,983.0,1518527886.0,2147483647.0,339.0,72.0,5.0,0.6523809523809524,285.85
14.0,1.0,123.0,983.0,1526011790.0,2147483647.0,287.0,72.0,5.0,0.6523809523809524,285.85
14.0,1.0,128.0,991.0,1525343405.0,2147483647.0,288.0,31.0,5.0,0.6523809523809524,285.85
13.0,1.0,35.0,1055.0,1204165016.0,2147483647.0,355.0,72.0,4.0,0.626984126984127,285.98955555555557
