spark.default.parallelism,spark.rdd.compress,runtime
475.0,1.0,240.01984752308238
448.0,0.0,240.01984752308238
335.0,0.0,240.01984752308238
275.0,0.0,240.01984752308238
335.0,1.0,240.01984752308238
313.0,0.0,240.01984752308238
499.0,1.0,240.01984752308238
340.0,0.0,240.01984752308238
323.0,1.0,240.01984752308238
275.0,1.0,240.01984752308238
348.0,1.0,240.01984752308238
269.0,1.0,240.01984752308238
341.0,0.0,240.01984752308238
478.0,0.0,240.01984752308238
334.0,0.0,240.01984752308238
323.0,0.0,240.01984752308238
325.0,0.0,240.01984752308238
252.0,1.0,240.01984752308238
324.0,1.0,240.01984752308238
324.0,0.0,240.01984752308238
341.0,0.0,240.01984752308238
329.0,0.0,240.01984752308238
500.0,0.0,240.01984752308238
312.0,0.0,240.01984752308238
250.0,0.0,240.01984752308238
324.0,0.0,240.01984752308238
269.0,0.0,240.01984752308238
344.0,1.0,240.01984752308238
291.0,1.0,240.01984752308238
331.0,0.0,240.01984752308238
