spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memory,spark.executor.cores,spark.memory.storageFraction,runtime
1965315584.0,7.0,3.0,0.8365079365079365,221.69299999999998
1909624638.0,4.0,4.0,0.8873015873015873,221.84579999999997
1967180980.0,4.0,3.0,0.8746031746031746,221.69299999999998
2089858712.0,3.0,4.0,0.8428571428571429,221.69299999999998
1606859109.0,6.0,3.0,0.8555555555555556,221.69299999999998
1699852310.0,5.0,4.0,0.8492063492063492,221.69299999999998
1527525343.0,4.0,3.0,0.861904761904762,221.69299999999998
1934151576.0,6.0,4.0,0.8365079365079365,221.69299999999998
2011398661.0,4.0,4.0,0.8492063492063492,221.69299999999998
2012554914.0,7.0,3.0,0.8365079365079365,221.69299999999998
1614299220.0,4.0,4.0,0.8428571428571429,221.69299999999998
1385665279.0,4.0,4.0,0.8365079365079365,221.69299999999998
1846543509.0,6.0,4.0,0.8555555555555556,221.69299999999998
1970712177.0,4.0,4.0,0.8365079365079365,221.69299999999998
1876655288.0,4.0,3.0,0.861904761904762,221.69299999999998
1857644984.0,7.0,3.0,0.8555555555555556,221.69299999999998
1538705883.0,6.0,4.0,0.8682539682539683,221.69299999999998
1802894647.0,3.0,3.0,0.8555555555555556,221.69299999999998
1254798788.0,6.0,3.0,0.8555555555555556,221.69299999999998
1078171002.0,4.0,4.0,0.8682539682539683,221.69299999999998
1797385617.0,6.0,3.0,0.8682539682539683,221.69299999999998
2019874224.0,4.0,4.0,0.8555555555555556,221.69299999999998
1243944351.0,4.0,4.0,0.8746031746031746,221.69299999999998
2011056642.0,3.0,3.0,0.8555555555555556,221.69299999999998
1545428345.0,4.0,3.0,0.8746031746031746,221.69299999999998
1708177797.0,6.0,3.0,0.8555555555555556,221.69299999999998
1792841990.0,3.0,3.0,0.8492063492063492,221.69299999999998
1661311893.0,3.0,3.0,0.8492063492063492,221.69299999999998
2128443060.0,5.0,4.0,0.8492063492063492,221.69299999999998
1761015989.0,6.0,3.0,0.8365079365079365,221.69299999999998
