spark.executor.cores,spark.executor.instances,runtime
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
4.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
3.0,8.0,187.66271073005194
