spark.executor.memory,spark.executor.cores,spark.kryoserializer.buffer.max,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.memory.storageFraction,spark.kryoserializer.buffer,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.memory.fraction,spark.shuffle.sort.bypassMergeThreshold,spark.executor.memoryOverhead,spark.executor.instances,spark.default.parallelism,spark.broadcast.blockSize,spark.scheduler.revive.interval,spark.shuffle.io.numConnectionsPerPeer,spark.storage.memoryMapThreshold,spark.memory.offHeap.size,spark.shuffle.file.buffer,spark.locality.wait,spark.broadcast.compress,spark.shuffle.compress,runtime
4.0,4.0,128.0,1331612645.0,1906641727.0,0.8936507936507936,36.0,1391857036.0,52.0,0.7412698412698413,199.0,691.0,5.0,249.0,37.0,898.0,4.0,4.0,536.0,27.0,4.0,0.0,0.0,255.89367000000004
5.0,4.0,119.0,1578390460.0,1508308455.0,0.8301587301587301,52.0,1650886308.0,70.0,0.7730158730158729,220.0,692.0,5.0,248.0,37.0,834.0,2.0,3.0,533.0,27.0,4.0,0.0,0.0,255.75386000000006
6.0,4.0,122.0,1578439609.0,1508177383.0,0.7285714285714285,52.0,1718535846.0,70.0,0.7730158730158729,220.0,692.0,5.0,248.0,37.0,834.0,2.0,3.0,533.0,27.0,4.0,0.0,0.0,255.75386000000006
4.0,4.0,115.0,1145361151.0,1382298655.0,0.5380952380952381,93.0,1911963566.0,54.0,0.5380952380952381,171.0,683.0,5.0,249.0,37.0,898.0,4.0,4.0,536.0,27.0,4.0,0.0,0.0,255.89367000000004
4.0,4.0,102.0,1078252337.0,1361775871.0,0.7984126984126985,45.0,1617236652.0,54.0,0.7412698412698413,195.0,676.0,7.0,249.0,38.0,898.0,4.0,3.0,533.0,27.0,4.0,0.0,0.0,255.90524000000005
7.0,4.0,103.0,1143859136.0,1423253872.0,0.7285714285714285,81.0,1122063477.0,70.0,0.7730158730158729,220.0,687.0,7.0,252.0,33.0,836.0,3.0,3.0,531.0,27.0,4.0,0.0,0.0,255.70997000000006
4.0,3.0,111.0,1297904596.0,1557463632.0,0.7285714285714285,81.0,1187320949.0,70.0,0.7730158730158729,220.0,814.0,7.0,252.0,33.0,843.0,3.0,3.0,531.0,27.0,4.0,0.0,0.0,255.70922000000007
4.0,3.0,107.0,1163751877.0,1637714141.0,0.5317460317460317,99.0,1892782746.0,46.0,0.7222222222222222,220.0,687.0,7.0,248.0,49.0,773.0,3.0,4.0,532.0,27.0,4.0,0.0,0.0,255.68608000000006
4.0,3.0,103.0,1147496256.0,1419626515.0,0.5380952380952381,53.0,1390431309.0,56.0,0.5190476190476191,198.0,441.0,7.0,252.0,33.0,773.0,3.0,3.0,563.0,27.0,4.0,0.0,0.0,255.69765000000007
5.0,4.0,123.0,1146393232.0,1086599262.0,0.5253968253968254,105.0,1271841737.0,59.0,0.5698412698412698,199.0,441.0,7.0,252.0,33.0,773.0,3.0,4.0,534.0,27.0,4.0,0.0,0.0,255.68683000000007
