spark.executor.instances,spark.memory.storageFraction,runtime
12.0,0.734920634920635,313.84451609644395
10.0,0.8682539682539683,313.84451609644395
12.0,0.5507936507936508,313.84451609644395
13.0,0.5507936507936508,313.84451609644395
11.0,0.8746031746031746,313.84451609644395
10.0,0.5634920634920635,313.84451609644395
10.0,0.7920634920634921,313.84451609644395
11.0,0.5,313.84451609644395
10.0,0.5,313.84451609644395
14.0,0.6904761904761905,313.84451609644395
10.0,0.753968253968254,313.84451609644395
10.0,0.8936507936507936,313.84451609644395
10.0,0.5507936507936508,313.84451609644395
8.0,0.6015873015873016,313.84451609644395
8.0,0.6587301587301587,313.84451609644395
8.0,0.5571428571428572,313.84451609644395
8.0,0.7666666666666666,313.84451609644395
12.0,0.665079365079365,313.84451609644395
13.0,0.5444444444444444,313.84451609644395
8.0,0.6142857142857143,313.84451609644395
10.0,0.5380952380952381,313.84451609644395
14.0,0.8555555555555556,313.84451609644395
10.0,0.5126984126984127,313.84451609644395
14.0,0.8047619047619048,313.84451609644395
11.0,0.5952380952380952,313.84451609644395
8.0,0.607936507936508,313.84451609644395
10.0,0.5380952380952381,313.84451609644395
9.0,0.607936507936508,313.84451609644395
8.0,0.5380952380952381,313.84451609644395
8.0,0.7285714285714285,313.84451609644395
