spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0.0,0.0,6.0,3.0,652.0,7.0,46.0,0.0,0.0,350.0,102.0,99.0,8.0,1541546240.0,0.72,0.69,1.0,1843644928.0,1662765952.0,31.0,1.0,739.0,0.0,32.0,2.0,297.0,3.0,172.737
1.0,936.0,5.0,2.0,429.0,5.0,56.0,1.0,1.0,242.0,54.0,53.0,7.0,1552680608.0,0.53,0.71,1.0,2018096111.0,1888765049.0,53.0,1.0,594.0,0.0,30.0,5.0,337.0,4.0,255.961
1.0,641.0,5.0,2.0,453.0,4.0,55.0,1.0,0.0,314.0,107.0,85.0,10.0,1971811651.0,0.83,0.68,1.0,1595143533.0,1473595385.0,32.0,1.0,766.0,0.0,40.0,1.0,182.0,1.0,324.13
0.0,0.0,3.0,1.0,384.0,5.0,45.0,1.0,1.0,303.0,60.0,58.0,5.0,1314730635.0,0.84,0.68,0.0,1924393382.0,2118318989.0,58.0,1.0,744.0,1.0,38.0,2.0,317.0,1.0,456.646
0.0,0.0,6.0,3.0,649.0,7.0,46.0,0.0,0.0,350.0,99.0,95.0,8.0,1548653696.0,0.72,0.69,1.0,1807497984.0,1655506560.0,34.0,0.0,738.0,0.0,32.0,2.0,290.0,3.0,208.406
0.0,0.0,6.0,3.0,644.0,7.0,46.0,0.0,0.0,350.0,94.0,92.0,8.0,1574921088.0,0.71,0.69,1.0,1768310144.0,1635949568.0,37.0,0.0,744.0,0.0,32.0,2.0,281.0,3.0,216.189
0.0,0.0,5.0,3.0,637.0,6.0,47.0,0.0,0.0,350.0,90.0,87.0,7.0,1583257600.0,0.71,0.7,1.0,1702759552.0,1632445440.0,39.0,0.0,747.0,0.0,32.0,2.0,268.0,3.0,211.943
1.0,689.0,3.0,1.0,384.0,8.0,50.0,0.0,0.0,245.0,56.0,127.0,8.0,1790357757.0,0.86,0.7,0.0,1587876206.0,1381595499.0,36.0,1.0,643.0,0.0,38.0,2.0,154.0,3.0,298.722
1.0,570.0,6.0,3.0,562.0,6.0,43.0,1.0,0.0,334.0,92.0,80.0,9.0,1598433116.0,0.55,0.68,1.0,1927618375.0,1861732248.0,65.0,1.0,720.0,0.0,26.0,1.0,228.0,1.0,194.449
0.0,0.0,7.0,3.0,500.0,8.0,44.0,1.0,1.0,322.0,57.0,123.0,7.0,1152686404.0,0.69,0.76,0.0,1142557328.0,1532772900.0,51.0,1.0,534.0,0.0,24.0,2.0,347.0,2.0,176.506
0.0,0.0,6.0,3.0,656.0,7.0,46.0,0.0,0.0,350.0,96.0,92.0,8.0,1552086272.0,0.72,0.69,1.0,1788675200.0,1640533760.0,36.0,1.0,740.0,0.0,32.0,2.0,283.0,3.0,181.805
0.0,0.0,6.0,3.0,647.0,7.0,47.0,0.0,0.0,350.0,92.0,90.0,8.0,1544382464.0,0.71,0.69,1.0,1733684096.0,1638051584.0,38.0,1.0,737.0,0.0,32.0,2.0,279.0,3.0,202.317
0.0,0.0,5.0,3.0,637.0,6.0,47.0,0.0,0.0,350.0,86.0,88.0,7.0,1572520448.0,0.72,0.7,1.0,1690486144.0,1618915328.0,42.0,1.0,743.0,0.0,32.0,2.0,271.0,3.0,192.472
0.0,0.0,6.0,3.0,709.0,7.0,56.0,1.0,0.0,227.0,58.0,73.0,4.0,1478898495.0,0.79,0.54,0.0,1360636934.0,1952495891.0,61.0,1.0,844.0,1.0,45.0,4.0,175.0,2.0,188.399
1.0,819.0,3.0,1.0,384.0,8.0,32.0,1.0,1.0,323.0,112.0,87.0,9.0,1133176805.0,0.5,0.86,1.0,1132268218.0,1767252692.0,62.0,1.0,929.0,1.0,21.0,5.0,190.0,3.0,305.542
0.0,0.0,7.0,3.0,769.0,6.0,48.0,1.0,0.0,438.0,100.0,127.0,5.0,1467813141.0,0.76,0.64,0.0,1575230849.0,1772378549.0,24.0,1.0,553.0,1.0,17.0,1.0,222.0,4.0,214.939
0.0,0.0,7.0,3.0,522.0,8.0,44.0,1.0,1.0,326.0,60.0,116.0,7.0,1228074752.0,0.69,0.75,0.0,1220512128.0,1546777344.0,51.0,0.0,566.0,0.0,25.0,2.0,330.0,2.0,178.045
0.0,0.0,6.0,3.0,536.0,7.0,45.0,1.0,1.0,329.0,64.0,111.0,7.0,1278784256.0,0.69,0.74,0.0,1267059968.0,1550900480.0,50.0,0.0,592.0,0.0,26.0,2.0,321.0,2.0,213.438
0.0,0.0,6.0,3.0,562.0,7.0,46.0,1.0,1.0,338.0,69.0,101.0,7.0,1373168128.0,0.7,0.73,0.0,1387006848.0,1576133888.0,50.0,0.0,640.0,0.0,28.0,2.0,299.0,2.0,207.049
1.0,763.0,5.0,2.0,484.0,4.0,59.0,1.0,0.0,335.0,108.0,70.0,7.0,1173866466.0,0.61,0.73,1.0,1663574453.0,1347238364.0,43.0,0.0,665.0,1.0,48.0,3.0,346.0,1.0,326.323
1.0,779.0,3.0,1.0,384.0,4.0,62.0,1.0,0.0,262.0,82.0,38.0,10.0,1577346695.0,0.68,0.87,0.0,1622804415.0,1785348577.0,68.0,1.0,545.0,0.0,42.0,3.0,261.0,4.0,523.954
1.0,879.0,4.0,2.0,384.0,6.0,60.0,0.0,1.0,482.0,106.0,37.0,10.0,1163748030.0,0.75,0.62,0.0,1645710674.0,1627257167.0,40.0,0.0,951.0,1.0,33.0,5.0,273.0,2.0,256.97
0.0,0.0,7.0,3.0,537.0,8.0,45.0,1.0,1.0,329.0,62.0,111.0,7.0,1271109632.0,0.69,0.75,0.0,1272577920.0,1560137856.0,51.0,1.0,592.0,0.0,26.0,2.0,321.0,2.0,179.444
0.0,0.0,6.0,3.0,550.0,7.0,45.0,1.0,1.0,332.0,65.0,107.0,7.0,1326390144.0,0.69,0.74,0.0,1323278208.0,1564268416.0,50.0,1.0,615.0,0.0,27.0,2.0,309.0,2.0,169.584
0.0,0.0,6.0,3.0,574.0,7.0,46.0,1.0,1.0,339.0,70.0,98.0,7.0,1412226432.0,0.7,0.72,0.0,1408359424.0,1573327232.0,50.0,1.0,657.0,0.0,28.0,2.0,291.0,2.0,175.073
0.0,0.0,5.0,2.0,485.0,6.0,46.0,0.0,0.0,360.0,103.0,57.0,10.0,1601284649.0,0.78,0.84,1.0,1165739133.0,1382373872.0,55.0,0.0,915.0,0.0,37.0,4.0,286.0,3.0,248.78
0.0,0.0,5.0,2.0,454.0,7.0,58.0,0.0,1.0,326.0,82.0,106.0,6.0,1983743839.0,0.56,0.57,1.0,1957034708.0,1326452784.0,38.0,0.0,845.0,0.0,20.0,2.0,251.0,2.0,214.077
1.0,688.0,6.0,3.0,569.0,6.0,44.0,1.0,1.0,364.0,51.0,50.0,6.0,1486721702.0,0.61,0.61,0.0,1759010656.0,1112957990.0,61.0,1.0,811.0,1.0,38.0,1.0,248.0,2.0,212.069
0.0,0.0,6.0,3.0,565.0,7.0,46.0,1.0,1.0,336.0,68.0,102.0,7.0,1374695936.0,0.69,0.73,0.0,1369968000.0,1575355776.0,50.0,0.0,641.0,0.0,28.0,2.0,297.0,2.0,222.903
0.0,0.0,6.0,3.0,574.0,7.0,46.0,1.0,1.0,335.0,70.0,99.0,7.0,1419858816.0,0.69,0.72,0.0,1405904128.0,1587604736.0,49.0,0.0,657.0,0.0,28.0,2.0,288.0,2.0,176.775
0.0,0.0,5.0,3.0,595.0,6.0,47.0,1.0,1.0,339.0,73.0,93.0,7.0,1479371264.0,0.69,0.72,0.0,1478232832.0,1586642688.0,49.0,0.0,687.0,0.0,30.0,2.0,278.0,2.0,207.367
0.0,0.0,5.0,2.0,507.0,7.0,35.0,0.0,1.0,244.0,59.0,128.0,6.0,2052212734.0,0.54,0.54,0.0,1843650922.0,1801749332.0,37.0,1.0,940.0,0.0,25.0,4.0,321.0,4.0,250.979
1.0,634.0,6.0,3.0,432.0,7.0,51.0,1.0,1.0,370.0,77.0,89.0,4.0,1335663295.0,0.7,0.85,1.0,1486768757.0,1430733852.0,28.0,1.0,851.0,0.0,44.0,3.0,290.0,2.0,204.072
