spark.reducer.maxSizeInFlight,spark.default.parallelism,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.executor.instances,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer.max,spark.shuffle.file.buffer,spark.executor.memory,spark.executor.memoryOverhead,spark.memory.storageFraction,runtime
53.0,307.0,1085153271.0,1334243553.0,6.0,1768916002.0,126.0,46.0,6.0,497.0,0.607936507936508,212.31433333333334
53.0,307.0,1637799696.0,1581944959.0,8.0,1733655040.0,37.0,21.0,5.0,384.0,0.6460317460317461,214.227
33.0,322.0,1311021143.0,1292169451.0,8.0,1775093152.0,108.0,46.0,6.0,620.0,0.607936507936508,212.61107692307695
50.0,297.0,1086757341.0,1336684907.0,5.0,1768784950.0,77.0,44.0,7.0,863.0,0.607936507936508,213.961
25.0,297.0,1103272412.0,1202467210.0,7.0,1769306162.0,125.0,44.0,7.0,833.0,0.607936507936508,212.61107692307695
25.0,330.0,1091769943.0,1296483566.0,8.0,1725859232.0,120.0,46.0,6.0,608.0,0.5952380952380952,212.61107692307695
31.0,330.0,1125334103.0,1565443246.0,6.0,2011071656.0,120.0,46.0,6.0,484.0,0.5952380952380952,212.61107692307695
48.0,299.0,1365736924.0,1722299923.0,5.0,1763539062.0,124.0,48.0,4.0,836.0,0.6968253968253968,212.61107692307695
54.0,294.0,1086411081.0,1471125047.0,8.0,2103809142.0,124.0,48.0,4.0,836.0,0.6968253968253968,212.5182142857143
39.0,306.0,1104685545.0,1277186315.0,4.0,1742683391.0,118.0,38.0,7.0,636.0,0.8238095238095238,212.61107692307695
53.0,317.0,1390865629.0,1461450116.0,7.0,1953791135.0,118.0,38.0,7.0,667.0,0.8238095238095238,212.31433333333334
53.0,339.0,1122495997.0,1444541768.0,8.0,1953856671.0,118.0,38.0,7.0,667.0,0.8174603174603174,212.5182142857143
56.0,336.0,1122414557.0,1432262109.0,5.0,1787767967.0,118.0,40.0,7.0,667.0,0.8174603174603174,212.61107692307695
26.0,330.0,1390931197.0,1142011280.0,7.0,1951345823.0,118.0,47.0,7.0,667.0,0.8428571428571429,212.61107692307695
51.0,319.0,1416010598.0,1084699990.0,5.0,1809736450.0,123.0,22.0,3.0,426.0,0.6968253968253968,212.61107692307695
40.0,344.0,1189276884.0,1142011536.0,7.0,1683382247.0,117.0,20.0,7.0,667.0,0.8238095238095238,213.47469230769232
27.0,325.0,1144335572.0,1678884336.0,7.0,1683381223.0,117.0,20.0,7.0,667.0,0.8238095238095238,212.61107692307695
50.0,316.0,1177888863.0,1519627814.0,7.0,1679186920.0,117.0,20.0,7.0,420.0,0.8238095238095238,212.61107692307695
24.0,293.0,1176862166.0,1121566325.0,6.0,1951587240.0,117.0,34.0,6.0,667.0,0.7222222222222222,212.61107692307695
40.0,320.0,1077783555.0,1683619417.0,5.0,1728599015.0,105.0,20.0,7.0,667.0,0.6206349206349207,212.61107692307695
50.0,330.0,1144557244.0,1520483414.0,6.0,1818081173.0,119.0,43.0,7.0,867.0,0.7984126984126985,212.61107692307695
30.0,311.0,1185064902.0,1686476080.0,6.0,1817615959.0,105.0,26.0,4.0,667.0,0.8238095238095238,212.61107692307695
51.0,317.0,1346420885.0,1135453622.0,6.0,1687674392.0,117.0,19.0,7.0,662.0,0.8238095238095238,212.61107692307695
48.0,309.0,1082353649.0,1686475443.0,8.0,1812739665.0,118.0,27.0,7.0,867.0,0.7857142857142857,212.61107692307695
52.0,326.0,1179707635.0,1168223854.0,6.0,1689476791.0,108.0,20.0,7.0,662.0,0.8238095238095238,212.5182142857143
54.0,304.0,1437009809.0,1189450482.0,8.0,1828510866.0,118.0,27.0,6.0,867.0,0.7857142857142857,212.5182142857143
54.0,330.0,1242888435.0,1707699646.0,4.0,1684421635.0,117.0,25.0,4.0,790.0,0.8428571428571429,212.5182142857143
54.0,331.0,1209465075.0,1708011531.0,6.0,1817613336.0,120.0,44.0,4.0,701.0,0.8428571428571429,212.5182142857143
53.0,233.0,1411673280.0,1642704266.0,5.0,1813888347.0,119.0,17.0,6.0,852.0,0.8174603174603174,212.61107692307695
29.0,329.0,1209200858.0,1691275341.0,8.0,1750504600.0,122.0,36.0,6.0,701.0,0.8428571428571429,212.61107692307695
