spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime,∆Ê≈º
1,860,4,2,384,6,39,1,0,219,94,71,7,1850434413,0.57,0.67,0,1785591174,2008482403,64,0,548,0,24,1,298,2,252.154,∆Ê
0,0,3,1,384,7,43,1,1,280,48,110,7,1110271188,0.74,0.86,1,1242953129,2012887588,49,1,744,1,41,4,193,4,397.267,≈º
1,769,6,3,727,8,40,0,0,297,73,96,9,1492184320,0.74,0.75,1,1489542912,1815774592,60,1,604,0,29,4,295,1,190.243,∆Ê
1,819,7,3,713,7,37,0,0,282,67,96,8,1418614656,0.75,0.78,1,1515846528,1737538304,63,1,521,0,28,4,312,1,218.759,≈º
0,0,4,2,446,6,36,0,1,298,89,82,7,1923296948,0.53,0.71,0,1814180871,1189122009,69,0,636,0,33,3,159,2,254.225,∆Ê
1,939,4,2,384,6,45,0,0,409,65,96,9,2053930890,0.5,0.78,0,2021705510,1671675601,66,1,948,1,27,4,161,3,274.356,≈º
1,756,6,3,675,7,40,0,0,314,83,103,8,1390464896,0.68,0.79,1,1338915328,1926262912,56,0,603,0,24,4,309,1,187.626,∆Ê
1,787,5,3,685,7,39,0,0,347,75,101,8,1407788032,0.72,0.76,1,1574112384,1829104384,58,0,626,0,26,4,299,1,185.528,≈º
0,0,7,3,840,4,37,0,1,227,107,126,8,1884668160,0.83,0.61,1,1722744142,1836269132,48,0,996,1,45,5,345,3,274.999,∆Ê
0,0,6,3,541,7,39,1,0,439,73,46,9,1325988420,0.7,0.66,1,1690312122,1463139560,26,1,984,0,23,3,318,3,222.671,≈º
1,770,5,3,674,6,42,0,0,355,77,85,8,1366687232,0.68,0.71,1,1550597248,1691806208,57,1,597,0,24,3,283,1,212.804,∆Ê
1,758,5,3,676,6,45,0,0,325,72,85,9,1356598400,0.67,0.77,1,1489143168,1832419840,62,1,598,0,23,4,276,1,268.936,≈º
1,807,3,1,384,6,34,0,1,443,100,71,8,1133238697,0.87,0.68,1,1260486650,1714762017,62,0,965,0,28,3,171,3,434.403,∆Ê
0,0,7,3,620,5,33,1,0,308,33,36,7,1999483127,0.72,0.67,1,1831852654,1184705638,40,0,802,1,37,5,182,1,280.262,≈º
1,756,5,3,534,7,46,0,0,396,88,89,6,1617225600,0.68,0.71,1,1631064704,1917063936,47,0,508,0,22,3,259,1,191.337,∆Ê
1,767,5,3,582,7,46,0,0,401,90,81,8,1510227584,0.7,0.75,1,1685803008,1911138432,52,0,551,0,20,3,255,1,180.737,≈º
1,667,4,2,384,5,33,1,1,472,115,88,5,1725657166,0.76,0.87,0,1614661056,1603752738,44,0,743,0,45,4,156,4,290.366,∆Ê
1,526,6,3,525,5,46,1,0,364,120,56,6,1532724463,0.65,0.55,1,1760803282,2120726742,70,0,825,1,32,2,245,2,242.835,≈º
1,780,5,3,635,6,44,0,0,387,87,86,8,1515899008,0.72,0.71,1,1662638592,1948488192,58,1,533,0,22,3,252,1,225.005,∆Ê
1,770,5,3,629,7,48,0,0,432,84,86,7,1522840704,0.72,0.73,1,1626704896,1970324480,57,1,507,0,21,3,261,1,192.778,≈º
1,688,6,3,672,6,62,0,0,303,109,48,6,1649406224,0.62,0.52,0,1666439451,1877524297,37,0,948,0,22,3,328,4,211.6,∆Ê
1,762,4,2,384,5,55,1,0,389,60,47,6,1172908480,0.87,0.76,0,1119972262,1368876850,44,1,564,0,20,2,267,4,313.351,≈º
1,807,5,3,662,6,49,0,0,416,81,92,7,1410772608,0.73,0.65,1,1713861760,1936637952,60,0,516,0,26,3,209,1,215.281,∆Ê
1,772,5,3,629,7,47,0,0,399,81,83,7,1526364416,0.78,0.72,1,1635678208,1916650624,48,0,548,0,24,3,269,1,184.96,≈º
1,681,6,3,736,7,36,0,0,441,121,112,10,1649383885,0.61,0.88,1,1555275862,1421839281,70,1,641,0,21,4,157,3,186.093,∆Ê
0,0,7,3,498,8,43,0,0,462,69,56,7,1159077391,0.85,0.79,1,1617507531,2082799281,31,1,768,1,43,5,252,3,200.646,≈º
1,745,5,3,645,7,49,0,0,425,87,74,8,1496125952,0.79,0.68,1,1582470656,2006342912,50,1,665,0,25,3,265,1,189.006,∆Ê
1,794,5,2,634,6,45,0,0,467,88,72,8,1456125056,0.77,0.69,1,1422791424,1806831232,51,1,563,0,27,3,237,1,266.492,≈º
1,716,3,1,384,6,36,1,1,281,103,103,5,1696923531,0.82,0.65,0,1966523095,1592049894,52,1,846,1,28,3,215,2,441.321,∆Ê
