,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
20,252.001   (20),252.001,51.57266543,0.774796073,0.75776598,386.2370606,2.439646096,7.123226531,5.85573928,699.9748858,53.71394142,87.83073898,8.385906965,1554859593,0.539973531,0.721595549,642.9967654,0.854966717,0.581914546,1270871073,1345306365,66.84624578,0.738922038,901.3366476,0.246086719,19.71502578,4.940521863,212.334051,3.312029542
21,188.665   (21),188.665,46.745991,0.964204557,0.819341062,443.6533788,3.072796959,7.967294283,6.175750526,670.5135695,60.64873538,120.8695432,8.054415502,1304134311,0.885784361,0.361607322,501.7178723,0.849603078,0.466947745,1604470256,1750113352,61.49005116,0.87677942,717.0317223,0.634109399,17.9184401,3.531021894,212.2068866,3.982095702
22,238.963   (22),238.963,49.0983216,0.898004495,0.819091188,432.9818625,2.235668521,6.382984079,5.552079886,416.646639,95.63852301,89.02848928,5.282377133,1811793331,0.776371786,0.174803196,81.08336393,0.838299723,0.446574202,1366812211,1681922656,70.91643155,0.54296759,608.4786515,0.299827777,41.30153127,2.115584544,270.6881001,2.901274506
23,263.431   (23),263.431,45.46857931,0.837360265,0.996663803,401.9569358,1.700483273,7.123250496,4.663324643,574.4538328,94.23971486,68.58631071,7.96107411,1566105657,0.603492038,0.352300808,580.2135229,0.815991484,0.630404528,1148011694,2017184647,62.48087808,0.557037548,990.8122598,0.615621919,24.48967598,4.406677625,317.8112038,2.532204839
24,301.978   (24),301.978,41.01704064,0.829544434,0.968794268,233.995739,1.253518546,7.630582766,6.1869659,500.1640711,94.69421818,95.93549932,6.649851649,1530873523,0.802240343,0.284728325,404.1623824,0.83192289,0.823237621,1169756566,1118195786,71.12515811,0.518052888,746.815192,0.331722603,24.5726264,4.013153596,314.5915233,3.654044907
25,210.108   (25),210.108,44.52376955,0.730678506,0.772823587,459.2669858,3.015663795,4.974967234,6.740211735,479.9521235,91.5085617,83.72292732,6.028781228,1493430542,0.632956577,0.065013862,665.8894161,0.874332676,0.722757551,1213007998,1575210302,52.24194775,0.938386565,947.1781139,0.404118832,22.85876305,4.165204385,231.4634025,3.708763116
26,201.04   (26),201.04,36.20138013,0.500241155,0.87155525,347.9125568,2.669719855,4.894025158,6.077796761,855.1846664,99.31791673,82.49596359,5.084072868,1361899013,0.76588793,0.48866355,282.1779333,0.820549488,0.766873233,1293324593,2139714940,69.37849159,0.937972897,863.2133942,0.325515191,33.20753351,4.660046675,261.1899351,3.268449002
27,212.365   (27),212.365,41.90163145,0.581180082,0.961069569,416.1794781,1.569428164,7.00613346,5.645491425,681.7305506,77.69125278,59.56884436,8.129383056,2037731567,0.716924117,0.292582659,459.5947288,0.730857576,0.140489212,1530680015,1822555781,59.96941979,0.836188932,898.8946156,0.434552993,44.23764303,4.672562889,327.5609427,2.463352111
28,232.155   (28),232.155,32.49764611,0.528701207,0.637638388,361.4593518,3.406969502,6.85770206,4.834633572,513.6812753,76.2569701,60.30149147,7.830649467,1585668332,0.847261678,0.363870956,2.702120415,0.835337488,0.519259451,1172937791,1088347606,58.48725459,0.827681544,888.315363,0.576078559,33.98776039,4.437772288,202.3576449,3.710267434
29,252.577   (29),252.577,34.84970289,0.279822391,0.957145187,381.792871,1.569948527,5.782086142,5.78369231,562.1427667,78.74518643,94.33997146,4.934600227,1406950579,0.619819636,0.007824725,230.9759239,0.837169039,0.050545356,2005265818,1960199495,61.78496302,0.98835183,898.4311177,0.749213753,43.33851475,3.493709957,290.7491488,2.9539693
