spark.executor.memory,spark.executor.cores,spark.memory.storageFraction,spark.default.parallelism,spark.reducer.maxReqsInFlight,spark.shuffle.io.numConnectionsPerPeer,spark.reducer.maxSizeInFlight,spark.executor.instances,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.executor.memoryOverhead,spark.scheduler.revive.interval,spark.shuffle.sort.bypassMergeThreshold,spark.locality.wait,spark.memory.offHeap.size,spark.maxRemoteBlockSizeFetchToMem,spark.broadcast.blockSize,spark.storage.memoryMapThreshold,spark.reducer.maxBlocksInFlightPerAddress,spark.broadcast.compress,spark.shuffle.file.buffer,spark.scheduler.mode,spark.shuffle.compress,spark.memory.fraction,spark.broadcast.checksum,runtime
3.0,4.0,0.8555555555555556,295.0,1452340776.0,5.0,51.0,8.0,67.0,35.0,477.0,764.0,164.0,5.0,0.0,1408782634.0,56.0,4.0,2044253953.0,0.0,21.0,0.0,0.0,0.6396825396825396,1.0,223.8734
4.0,4.0,0.8936507936507936,363.0,1627321704.0,4.0,32.0,8.0,64.0,59.0,477.0,764.0,195.0,5.0,4.0,1408782602.0,56.0,4.0,2044385024.0,0.0,26.0,1.0,0.0,0.665079365079365,1.0,223.8734
4.0,4.0,0.6333333333333333,328.0,1792894905.0,4.0,28.0,8.0,74.0,73.0,477.0,756.0,219.0,7.0,0.0,1408782602.0,56.0,4.0,2043336448.0,0.0,26.0,1.0,0.0,0.665079365079365,1.0,223.8734
6.0,4.0,0.6206349206349207,363.0,2122894468.0,4.0,58.0,5.0,64.0,62.0,511.0,823.0,170.0,7.0,0.0,1405636875.0,56.0,4.0,2043336448.0,0.0,26.0,1.0,0.0,0.665079365079365,1.0,223.8734
5.0,4.0,0.7031746031746031,301.0,1612508592.0,4.0,54.0,6.0,64.0,62.0,496.0,760.0,214.0,10.0,0.0,1440990032.0,38.0,4.0,2043332352.0,0.0,29.0,0.0,0.0,0.6396825396825396,1.0,223.8734
6.0,4.0,0.8047619047619048,426.0,1960340718.0,4.0,58.0,6.0,74.0,73.0,477.0,819.0,221.0,6.0,996.0,1440924496.0,40.0,4.0,2043336448.0,0.0,26.0,1.0,0.0,0.665079365079365,1.0,223.8734
3.0,4.0,0.8873015873015873,213.0,1574772791.0,4.0,34.0,8.0,74.0,56.0,415.0,764.0,164.0,5.0,9.0,1608762152.0,40.0,4.0,2027542271.0,0.0,21.0,0.0,0.0,0.6396825396825396,1.0,223.8734
5.0,4.0,0.8873015873015873,363.0,1573659191.0,5.0,33.0,8.0,74.0,73.0,477.0,756.0,164.0,5.0,9.0,1608762152.0,40.0,4.0,2023347967.0,0.0,21.0,0.0,0.0,0.6396825396825396,1.0,223.8734
3.0,4.0,0.7222222222222222,329.0,2046795993.0,5.0,28.0,8.0,62.0,73.0,492.0,756.0,220.0,6.0,768.0,1548732218.0,40.0,4.0,2044252928.0,0.0,29.0,0.0,0.0,0.665079365079365,1.0,223.8734
4.0,4.0,0.7730158730158729,347.0,2090100908.0,5.0,28.0,8.0,62.0,67.0,446.0,819.0,221.0,6.0,992.0,1440933107.0,56.0,2.0,1775818624.0,0.0,25.0,0.0,0.0,0.6396825396825396,1.0,223.8734
