,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,runtime
0,265.99297625372975,3.5663683747048287,7.179488483764702,4.397167676389818,620.2671062595156,0.7223427035574222,0.6777398809728279,1826051960.7028747,41.6369158208802,47.86790957178454,-2716.336960000001
1,352.04651515700687,1.7782770312527538,7.885765277992592,5.038123631538513,538.0941905619998,0.7052444345224423,0.5534462275676156,1382175986.4515374,28.14624059181522,42.30314185306119,-2795.806160000001
2,270.4786092350405,3.2377562411493646,5.8573510013244245,4.080125297767461,622.6011244461616,0.6823038593029572,0.6694246533007249,1737397985.9944415,37.71184295557874,39.388692138875044,-2796.8492400000014
3,345.9575059778214,3.1440922994374563,7.0392250747115614,6.962727483549804,766.7546950852324,0.5817279152607406,0.6331629966578163,1211856221.2005877,24.999809610364057,44.3916597706138,-2797.0545800000004
4,498.4717374322219,3.3098758462286977,6.5898180666693005,3.8215193600816875,743.2327144178248,0.570280188682581,0.5409804876852686,1796569176.0152788,55.31720373195644,28.561055631620878,-2797.060220000001
5,486.2394357576476,1.2312871265815353,6.671555755962629,6.093578670722904,597.20764129425,0.566908767886981,0.549952090389277,1355843577.2816215,25.570597125766916,35.34356290352122,-2797.238750000002
6,308.84929248329985,3.4088344790521683,5.992501821336256,5.53305880264768,577.5969408786002,0.852213283059589,0.818283343743224,1581765891.069696,31.1613314271411,33.86556521542315,-2798.041470000002
7,283.1545687163667,2.782741660985258,4.176951218787005,5.079751798375932,675.2102259039877,0.6445542140409679,0.5668409115360368,1825947048.2568078,56.35331208498017,41.182261065386484,-2798.3144800000014
8,292.1189803826157,2.7077476538910807,4.207283138125501,4.730596523410366,742.2134768483536,0.7050624040282509,0.5760350924159015,1446856239.9477859,71.16904767547007,25.254765771556578,-2798.4134800000015
9,331.0,3.0,6.0,5.0,577.0,0.7300000190734863,0.7699999809265137,1581330432.0,39.0,34.0,-2799.3503900000014
10,336.0,3.0,6.0,6.0,576.0,0.7200000286102295,0.7699999809265137,1558706816.0,39.0,33.0,-2799.3503900000014
11,434.875346660371,2.6722520410779844,4.9565874268341155,3.273635225693987,821.544602194163,0.540938735420248,0.7191885771383422,1838337047.8092623,43.71851592722317,44.68283677866818,-2799.4749600000023
12,275.36048764523747,1.8496705992366034,7.003137869211685,6.881587838429508,496.70872868242327,0.7590469634127757,0.550272353243931,1281690803.8840573,60.37022182189437,19.828761926610355,-2799.7623800000015
13,280.45195687695133,1.3648674985890505,6.491444310510021,4.724482082144515,587.6287890158578,0.6934385279716476,0.5894932200870144,2112623908.705553,39.38805184459612,38.39361373640864,-2807.822400000001
14,471.7347958176224,1.623735245622408,6.7021902652564265,6.307245827387211,512.8708848319183,0.5002018501106356,0.7529280134151459,2027727390.8450725,60.16555453095418,25.13734788014303,-2811.666330000001
15,413.7850037130409,2.241241139391946,4.8503452289778615,5.4242841483608775,408.8068662636944,0.7341725892850932,0.8735424684303739,2081493733.5344758,52.747772396926045,23.87998667477134,-2814.436630000001
16,321.0,3.0,7.0,4.0,620.0,0.7300000190734863,0.6700000166893005,1809341184.0,42.0,38.0,-2798.268640000001
