spark.executor.memory,spark.executor.cores,runtime
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,6.0,269.0454941130292
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,6.0,269.0454941130292
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,7.0,268.98065866369745
14.0,6.0,269.0454941130292
14.0,7.0,268.98065866369745
