spark.kryoserializer.buffer,spark.sql.autoBroadcastJoinThreshold,runtime
102.0,15549461.0,1641.29
102.0,14533413.0,1675.48
98.0,15095701.0,1619.74
102.0,9509938.0,1665.52
95.0,15552011.0,1642.68
98.0,9318013.0,1657.38
102.0,9968967.0,1673.52
102.0,9672849.0,1673.52
95.0,14400054.0,1669.86
99.0,9464867.0,1657.22
99.0,12959032.0,1671.91
94.0,14820078.0,1642.68
98.0,13643627.0,1656.74
91.0,14863167.0,1650.09
100.0,8979273.0,1673.1
99.0,15425479.0,1619.74
103.0,14733744.0,1641.29
104.0,15146064.0,1641.29
94.0,15605332.0,1642.68
102.0,9356709.0,1665.52
91.0,13220319.0,1669.54
101.0,9446998.0,1644.86
100.0,13641823.0,1629.22
92.0,15176331.0,1644.21
100.0,9969019.0,1653.27
122.0,10034644.0,1741.09
93.0,15684308.0,1655.05
103.0,9596640.0,1665.52
99.0,10084589.0,1661.49
99.0,9454747.0,1657.22
