spark.executor.memory,spark.memory.storageFraction,runtime
11.0,0.5190476190476191,248.73085
11.0,0.5,250.01196
12.0,0.6206349206349207,253.71272
11.0,0.5126984126984127,249.08893
11.0,0.5190476190476191,248.73085
11.0,0.5126984126984127,249.08893
11.0,0.5190476190476191,248.73085
11.0,0.5063492063492063,249.08893
11.0,0.5063492063492063,249.08893
11.0,0.5063492063492063,249.08893
11.0,0.5063492063492063,249.08893
11.0,0.5063492063492063,249.08893
11.0,0.5190476190476191,248.73085
11.0,0.5190476190476191,248.73085
11.0,0.5190476190476191,248.73085
11.0,0.5063492063492063,249.08893
11.0,0.5063492063492063,249.08893
11.0,0.5063492063492063,249.08893
11.0,0.5190476190476191,248.73085
11.0,0.5190476190476191,248.73085
11.0,0.5063492063492063,249.08893
11.0,0.607936507936508,255.13388
11.0,0.607936507936508,255.13388
11.0,0.5190476190476191,248.73085
13.0,0.8174603174603174,255.34186
13.0,0.6142857142857143,253.05324
11.0,0.5,250.01196
11.0,0.5190476190476191,248.73085
11.0,0.5063492063492063,249.08893
11.0,0.5063492063492063,249.08893
