spark.executor.cores,spark.executor.instances,runtime
3.0,8.0,180.52475
4.0,8.0,180.52475
3.0,8.0,180.52475
4.0,8.0,180.52475
3.0,8.0,180.52475
4.0,8.0,180.52475
4.0,8.0,180.52475
4.0,8.0,180.52475
3.0,8.0,180.52475
4.0,8.0,180.52475
3.0,8.0,180.52475
4.0,8.0,180.52475
3.0,8.0,180.52475
4.0,8.0,180.52475
4.0,8.0,180.52475
3.0,8.0,180.52475
4.0,8.0,180.52475
3.0,8.0,180.52475
4.0,8.0,180.52475
4.0,8.0,180.52475
3.0,8.0,180.52475
3.0,8.0,180.52475
3.0,8.0,180.52475
3.0,8.0,180.52475
3.0,8.0,180.52475
3.0,8.0,180.52475
3.0,8.0,180.52475
3.0,8.0,180.52475
3.0,8.0,180.52475
3.0,7.0,192.30484
