spark.executor.memory,spark.broadcast.blockSize,spark.executor.cores,spark.memory.storageFraction,spark.executor.memoryOverhead,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer.max,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.storage.memoryMapThreshold,spark.default.parallelism,spark.broadcast.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.locality.wait,spark.rdd.compress,spark.broadcast.checksum,spark.shuffle.file.buffer,spark.scheduler.mode,spark.executor.instances,spark.shuffle.compress,spark.memory.offHeap.size,spark.shuffle.io.numConnectionsPerPeer,runtime
13.0,29.0,4.0,0.7095238095238096,395.0,1877419029.0,127.0,222.0,71.0,1915246210.0,0.5507936507936508,50.0,882.0,6.0,270.0,0.0,1140003211.0,9.0,0.0,1.0,31.0,1.0,12.0,0.0,579.0,2.0,366.993
14.0,51.0,6.0,0.7857142857142857,1211.0,1229657423.0,91.0,272.0,69.0,1207979877.0,0.5634920634920635,32.0,880.0,8.0,219.0,1.0,1219697904.0,7.0,0.0,1.0,31.0,1.0,10.0,1.0,35.0,2.0,366.993
12.0,11.0,7.0,0.753968253968254,1568.0,2047053428.0,127.0,129.0,77.0,1612304157.0,0.5825396825396826,38.0,842.0,3.0,231.0,0.0,1513551683.0,7.0,0.0,1.0,31.0,1.0,10.0,1.0,67.0,2.0,366.993
14.0,11.0,7.0,0.753968253968254,1568.0,1912834684.0,79.0,129.0,77.0,1611386909.0,0.5825396825396826,38.0,842.0,3.0,231.0,0.0,1513551683.0,6.0,0.0,1.0,31.0,1.0,10.0,1.0,67.0,2.0,366.993
14.0,9.0,7.0,0.7031746031746031,1131.0,1338457366.0,128.0,161.0,35.0,1651398430.0,0.5190476190476191,45.0,555.0,1.0,271.0,0.0,1123940962.0,8.0,0.0,1.0,31.0,1.0,10.0,1.0,67.0,2.0,366.993
14.0,4.0,6.0,0.7857142857142857,1225.0,1740763126.0,127.0,275.0,74.0,2019839785.0,0.8555555555555556,53.0,882.0,9.0,202.0,0.0,1580661571.0,7.0,0.0,1.0,31.0,1.0,10.0,1.0,35.0,2.0,366.993
12.0,59.0,4.0,0.8111111111111111,710.0,1707208349.0,128.0,210.0,54.0,2091195222.0,0.8682539682539683,26.0,784.0,6.0,272.0,1.0,1274358865.0,6.0,0.0,1.0,47.0,1.0,10.0,1.0,323.0,2.0,366.993
13.0,5.0,5.0,0.6396825396825396,1608.0,1761900759.0,128.0,147.0,126.0,1219121126.0,0.6523809523809524,67.0,763.0,9.0,252.0,0.0,1222708759.0,8.0,0.0,1.0,31.0,0.0,10.0,1.0,34.0,2.0,366.993
13.0,2.0,6.0,0.7984126984126985,1057.0,1780548759.0,122.0,354.0,36.0,1511715137.0,0.5571428571428572,42.0,796.0,8.0,282.0,0.0,1118187460.0,9.0,0.0,1.0,45.0,1.0,10.0,1.0,35.0,2.0,366.993
14.0,16.0,6.0,0.7603174603174603,1221.0,1305051542.0,104.0,402.0,36.0,1535035555.0,0.7158730158730159,50.0,909.0,3.0,250.0,1.0,1790402063.0,7.0,1.0,1.0,23.0,1.0,14.0,1.0,547.0,2.0,366.993
