spark.executor.memory,spark.shuffle.compress,spark.executor.cores,spark.memory.storageFraction,spark.memory.fraction,spark.reducer.maxReqsInFlight,spark.locality.wait,spark.broadcast.blockSize,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.maxRemoteBlockSizeFetchToMem,spark.executor.memoryOverhead,spark.kryoserializer.buffer.max,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxSizeInFlight,spark.memory.offHeap.size,spark.broadcast.compress,spark.scheduler.revive.interval,spark.storage.memoryMapThreshold,spark.executor.instances,spark.shuffle.file.buffer,spark.kryoserializer.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.rdd.compress,spark.broadcast.checksum,spark.scheduler.mode,spark.memory.offHeap.enabled,runtime
11.0,0.0,6.0,0.8238095238095238,0.8873015873015873,1882410481.0,6.0,37.0,1711461167.0,476.0,1859099629.0,1310.0,78.0,313.0,57.0,16.0,1.0,795.0,2.0,12.0,47.0,46.0,4.0,0.0,0.0,1.0,0.0,275.54025
11.0,0.0,7.0,0.5,0.6841269841269841,1125987158.0,2.0,5.0,1868186154.0,245.0,1222995353.0,714.0,69.0,304.0,55.0,19.0,0.0,656.0,3.0,12.0,43.0,80.0,4.0,0.0,0.0,0.0,0.0,275.54025
12.0,0.0,5.0,0.7984126984126985,0.626984126984127,1795997768.0,2.0,26.0,1915148067.0,343.0,1822928106.0,710.0,68.0,326.0,54.0,35.0,0.0,648.0,4.0,12.0,41.0,114.0,4.0,0.0,1.0,1.0,1.0,275.54025
11.0,0.0,6.0,0.8809523809523809,0.7031746031746031,2093126768.0,2.0,28.0,1511030872.0,436.0,1818586381.0,710.0,68.0,326.0,54.0,35.0,0.0,897.0,4.0,10.0,47.0,102.0,5.0,0.0,0.0,0.0,0.0,275.54025
12.0,0.0,4.0,0.7730158730158729,0.5571428571428572,2044490778.0,1.0,4.0,1179443571.0,414.0,1224708367.0,1726.0,110.0,116.0,29.0,16.0,1.0,779.0,2.0,9.0,47.0,89.0,4.0,0.0,1.0,1.0,1.0,275.54025
12.0,0.0,7.0,0.626984126984127,0.7031746031746031,2016882598.0,6.0,29.0,1437753897.0,353.0,1858306561.0,1715.0,51.0,332.0,51.0,33.0,0.0,669.0,2.0,12.0,48.0,100.0,4.0,0.0,0.0,1.0,0.0,275.54025
11.0,0.0,4.0,0.7222222222222222,0.7476190476190476,1415004065.0,6.0,29.0,1438146601.0,200.0,1419082711.0,806.0,76.0,150.0,57.0,35.0,0.0,960.0,4.0,10.0,39.0,47.0,5.0,0.0,0.0,0.0,0.0,275.54025
8.0,0.0,4.0,0.5507936507936508,0.8047619047619048,1589770486.0,6.0,17.0,1574494057.0,388.0,1826345095.0,710.0,68.0,325.0,54.0,36.0,0.0,897.0,3.0,10.0,47.0,46.0,5.0,0.0,0.0,1.0,0.0,275.54025
9.0,0.0,4.0,0.8809523809523809,0.7603174603174603,1893982132.0,6.0,9.0,1578838626.0,316.0,1484845830.0,1308.0,68.0,326.0,54.0,35.0,0.0,929.0,4.0,10.0,46.0,102.0,5.0,0.0,0.0,0.0,0.0,275.54025
11.0,0.0,4.0,0.5126984126984127,0.7603174603174603,1746313970.0,2.0,12.0,1834618926.0,398.0,2122485884.0,1726.0,95.0,466.0,66.0,33.0,0.0,671.0,2.0,12.0,47.0,112.0,4.0,0.0,1.0,1.0,1.0,275.54025
12.0,0.0,7.0,0.626984126984127,0.8301587301587301,1441753634.0,6.0,26.0,1470023832.0,343.0,1150521049.0,1744.0,50.0,401.0,54.0,35.0,0.0,882.0,4.0,10.0,38.0,47.0,4.0,1.0,0.0,1.0,0.0,275.54025
9.0,0.0,5.0,0.5126984126984127,0.7857142857142857,1227563392.0,4.0,29.0,1422452328.0,391.0,1853559749.0,622.0,46.0,467.0,63.0,33.0,0.0,671.0,6.0,12.0,47.0,82.0,4.0,0.0,1.0,1.0,1.0,275.54025
11.0,0.0,7.0,0.7603174603174603,0.6777777777777778,1846975922.0,2.0,37.0,1637885671.0,238.0,1826344583.0,1310.0,71.0,466.0,66.0,33.0,0.0,671.0,2.0,12.0,39.0,102.0,4.0,0.0,0.0,1.0,0.0,275.54025
12.0,0.0,7.0,0.5253968253968254,0.7603174603174603,1433213098.0,5.0,29.0,1549417263.0,272.0,2122485788.0,1748.0,82.0,131.0,54.0,33.0,0.0,920.0,2.0,13.0,38.0,47.0,4.0,1.0,0.0,1.0,0.0,275.54025
12.0,0.0,6.0,0.5126984126984127,0.5761904761904761,1651826619.0,2.0,28.0,1453246633.0,343.0,1687395921.0,1701.0,50.0,310.0,54.0,35.0,0.0,756.0,4.0,10.0,43.0,100.0,5.0,0.0,0.0,1.0,0.0,275.54025
12.0,0.0,5.0,0.8873015873015873,0.8555555555555556,1812458771.0,1.0,46.0,2124143255.0,475.0,1826344647.0,1310.0,119.0,488.0,55.0,27.0,0.0,904.0,2.0,12.0,39.0,102.0,4.0,0.0,0.0,1.0,0.0,275.54025
11.0,0.0,4.0,0.6015873015873016,0.5761904761904761,2085562135.0,4.0,41.0,1456073367.0,495.0,1091735921.0,1040.0,49.0,466.0,66.0,34.0,0.0,669.0,1.0,13.0,35.0,88.0,5.0,0.0,0.0,1.0,0.0,275.54025
8.0,0.0,5.0,0.8301587301587301,0.5634920634920635,1728202480.0,6.0,29.0,1962808601.0,420.0,1079152956.0,1739.0,67.0,376.0,69.0,17.0,0.0,855.0,2.0,14.0,42.0,71.0,5.0,0.0,0.0,1.0,0.0,275.54025
12.0,0.0,4.0,0.6015873015873016,0.5761904761904761,2085450520.0,4.0,33.0,1388949137.0,491.0,1091703153.0,1040.0,49.0,366.0,42.0,34.0,0.0,734.0,2.0,12.0,23.0,83.0,4.0,0.0,1.0,1.0,0.0,275.54025
8.0,0.0,6.0,0.7984126984126985,0.7158730158730159,1630126663.0,3.0,12.0,1428140736.0,343.0,1222365010.0,1624.0,86.0,145.0,54.0,35.0,0.0,819.0,8.0,13.0,36.0,47.0,4.0,1.0,0.0,1.0,0.0,275.54025
