spark.executor.memory,spark.shuffle.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.cores,spark.memory.fraction,runtime
14.0,1.0,1146174534.0,7.0,0.5063492063492063,286.6068914453417
13.0,1.0,1924090718.0,4.0,0.5952380952380952,286.3738877459148
13.0,1.0,1965923544.0,4.0,0.6206349206349207,286.3738877459148
13.0,1.0,1628816895.0,6.0,0.5063492063492063,286.3738877459148
13.0,1.0,1628844049.0,6.0,0.5063492063492063,286.3738877459148
13.0,1.0,1538595365.0,6.0,0.5063492063492063,286.3738877459148
13.0,1.0,1829709857.0,6.0,0.6587301587301587,286.3738877459148
13.0,1.0,1337790273.0,4.0,0.5507936507936508,286.3738877459148
13.0,1.0,1897138897.0,5.0,0.7603174603174603,286.3738877459148
13.0,1.0,1711703212.0,4.0,0.8428571428571429,286.3738877459148
13.0,1.0,1988804216.0,6.0,0.7666666666666666,286.3738877459148
13.0,1.0,1836946532.0,6.0,0.6015873015873016,286.3738877459148
13.0,1.0,2059537065.0,5.0,0.5952380952380952,286.3738877459148
13.0,1.0,1467572476.0,6.0,0.8746031746031746,286.3738877459148
13.0,1.0,1261414781.0,6.0,0.8047619047619048,286.3738877459148
13.0,1.0,1534044527.0,6.0,0.7031746031746031,286.3738877459148
13.0,1.0,1177016388.0,7.0,0.5825396825396826,286.3738877459148
13.0,1.0,1871671759.0,5.0,0.5888888888888889,286.3738877459148
13.0,1.0,2048567811.0,6.0,0.7222222222222222,286.3738877459148
13.0,1.0,1520910208.0,7.0,0.8111111111111111,286.3738877459148
13.0,1.0,1621098212.0,7.0,0.5698412698412698,286.3738877459148
13.0,1.0,1443474889.0,5.0,0.7095238095238096,286.3738877459148
13.0,1.0,1913234894.0,5.0,0.7095238095238096,286.3738877459148
13.0,1.0,1456943067.0,5.0,0.861904761904762,286.3738877459148
13.0,1.0,2013904330.0,7.0,0.7095238095238096,286.3738877459148
13.0,1.0,1289043185.0,6.0,0.7603174603174603,286.3738877459148
13.0,1.0,1771812041.0,7.0,0.734920634920635,286.3738877459148
13.0,1.0,1239682926.0,5.0,0.7603174603174603,286.3738877459148
13.0,1.0,1709694233.0,7.0,0.7031746031746031,286.3738877459148
13.0,1.0,1586443611.0,7.0,0.8555555555555556,286.3738877459148
