spark.memory.offHeap.size,spark.shuffle.io.numConnectionsPerPeer,runtime
860.0,1.0,268.5371209716797
513.0,5.0,268.5371209716797
512.0,5.0,268.5371209716797
848.0,3.0,268.5371209716797
681.0,3.0,268.5371209716797
746.0,3.0,268.5371209716797
683.0,3.0,268.5371209716797
642.0,3.0,268.5371209716797
782.0,2.0,268.5371209716797
650.0,5.0,268.5371209716797
617.0,2.0,268.5371209716797
626.0,3.0,268.5371209716797
880.0,3.0,268.5371209716797
865.0,3.0,268.5371209716797
738.0,5.0,268.5371209716797
555.0,2.0,268.5371209716797
938.0,2.0,268.5371209716797
685.0,3.0,268.5371209716797
545.0,2.0,268.5371209716797
545.0,2.0,268.5371209716797
983.0,4.0,268.5371209716797
697.0,3.0,268.5371209716797
186.0,4.0,268.5371209716797
58.0,4.0,268.5371209716797
738.0,4.0,268.5371209716797
658.0,3.0,268.5371209716797
700.0,5.0,268.5371209716797
649.0,4.0,268.5371209716797
707.0,2.0,268.5371209716797
699.0,4.0,268.5371209716797
