spark.default.parallelism,spark.executor.instances,spark.executor.cores,runtime
324.0,6.0,3.0,228.18973999999992
321.0,7.0,4.0,230.51897999999986
258.0,7.0,3.0,235.27774999999983
325.0,8.0,2.0,233.61564999999976
321.0,8.0,4.0,230.09079999999986
320.0,6.0,3.0,227.7157399999999
332.0,6.0,4.0,228.1906099999999
326.0,8.0,4.0,230.09079999999986
324.0,7.0,4.0,230.51897999999986
323.0,6.0,4.0,228.18973999999992
286.0,6.0,4.0,230.54448999999988
336.0,7.0,3.0,231.15228999999985
329.0,6.0,4.0,228.18973999999992
320.0,7.0,3.0,230.08052999999984
320.0,7.0,3.0,230.08052999999984
332.0,6.0,2.0,232.0598499999998
322.0,8.0,3.0,230.09079999999986
334.0,6.0,3.0,228.82304999999988
331.0,6.0,4.0,228.1906099999999
322.0,7.0,3.0,230.51897999999986
329.0,7.0,3.0,230.51897999999986
310.0,6.0,4.0,229.57903000000022
272.0,7.0,3.0,234.42428999999996
324.0,7.0,3.0,230.51897999999986
333.0,6.0,3.0,227.91101999999992
329.0,6.0,3.0,228.18973999999992
328.0,8.0,4.0,230.09079999999986
293.0,6.0,4.0,230.85448999999986
286.0,6.0,3.0,230.54448999999988
274.0,6.0,4.0,232.42298
