spark.kryoserializer.buffer,spark.sql.autoBroadcastJoinThreshold,runtime
103.0,15549461.0,1641.29
93.71806543160876,15728640.0,1642.68
99.00717817540828,13283005.691550989,1629.22
99.98667592129046,14036731.73616158,1629.22
97.62035764668975,15402749.250279617,1619.74
100.84586979458308,15300928.488475123,1592.22
100.84586979458308,15300928.488475123,1592.22
100.93075758259832,15055071.204363994,1592.22
98.28803588948799,15293347.116423706,1619.74
99.411534357286,15359360.241011832,1592.22
99.54667033122371,15431047.597415235,1592.22
100.50509271669806,14634516.797112834,1592.22
100.54541060188811,15728640.0,1592.22
99.65751685189055,15710161.884044345,1592.22
99.98878335814871,15487364.570566926,1592.22
100.09866619232545,15043662.282088924,1592.22
100.23612921084347,15127116.691105228,1592.22
100.55875761621537,14939638.443326825,1592.22
100.19976976575893,15519831.872383397,1592.22
99.41794528701791,15508703.106093798,1592.22
100.36252576068408,15724760.512694528,1592.22
100.3625257606841,15724760.512694528,1592.22
100.30246247102397,14797422.62055961,1592.22
100.87289864306824,15050465.207172344,1592.22
100.89812577242597,15311077.668323372,1592.22
100.40348606581477,14884385.293950714,1592.22
103.12970077122453,15728640.0,1641.29
99.09683021273297,15725045.850039648,1592.22
98.63705023355695,15728640.0,1619.74
97.64301708780386,15728640.0,1619.74
