spark.sql.autoBroadcastJoinThreshold,spark.kryoserializer.buffer,runtime
15549461.0,103.0,1531.6163673029994
15516234.13431971,90.8707631143702,1540.0569420880072
15728640.0,90.91706730655036,1540.0569420880072
15728640.0,91.26747204809611,1540.0569420880072
15649618.796913981,103.39530601692988,1531.6163673029994
15728640.0,90.1778479345337,1537.6810693716886
15726513.409445763,104.81389839645479,1531.6163673029994
15727236.568716768,100.93235807153309,1531.6163673029994
15728640.0,99.36179901953149,1531.6163673029994
15728299.59494237,102.22170250767455,1531.6163673029994
14858239.4273455,101.91244390227166,1531.6163673029994
14841732.989254989,102.01482886404006,1531.6163673029994
14841732.989254985,102.01482886404006,1531.6163673029994
15345205.348500457,100.6383402341494,1531.6163673029994
15445772.473744623,99.99447385579714,1531.6163673029994
15378788.439965224,101.2585343589738,1531.6163673029994
15511957.936330326,103.50727255098212,1531.6163673029994
15556893.770652253,104.84042972810957,1531.6163673029994
14806126.918519117,99.13881797560953,1531.6163673029994
15714809.321114948,102.63526453746395,1531.6163673029994
15707799.350455185,103.41410582109256,1531.6163673029994
15728640.0,104.02414989823947,1531.6163673029994
14754046.826711848,103.89073497475727,1531.6163673029994
15099060.356141616,100.36606877149029,1531.6163673029994
15241345.66419705,101.50171828750995,1531.6163673029994
15306065.216972644,102.72478895716854,1531.6163673029994
15728640.0,104.56574993147753,1531.6163673029994
15728640.0,103.49017559005208,1531.6163673029994
15728640.0,99.78297376048576,1531.6163673029994
15728640.0,100.22835321363655,1531.6163673029994
