spark.kryoserializer.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.shuffle.partitions,spark.scheduler.revive.interval,spark.executor.memoryOverhead,spark.shuffle.file.buffer,runtime
59.0,10791591.0,274.0,544.0,384.0,40.0,3370.345458984375
55.2498646962685,6475850.485613651,314.42851875191127,629.5806041170811,384.0,44.19113026370911,3370.345458984375
120.19420949558159,15728640.0,268.21273615969204,790.3655388359945,488.83024309408546,48.0,3370.345458984375
117.55062138001023,15728640.0,311.27583823098024,959.1124895468181,761.1177918105078,40.187048440227684,3370.345458984375
128.0,15728640.0,250.0,583.6817542063735,520.6373618565427,48.0,3370.345458984375
58.45505207323107,11219136.348748576,387.63532566418075,798.6163384746105,620.4640343881202,37.142559388842805,3370.345458984375
71.43808348750784,15707496.198452834,309.4600624980464,878.7151776079866,610.4152173477023,39.91508283202923,3370.345458984375
41.03765680669953,14489097.067406738,378.5986031800521,813.9392544840794,384.0,47.12419146360459,3370.345458984375
106.05443509922418,10414296.4270087,285.94796728521527,801.860821225089,699.1637496891972,38.75700343886669,3370.345458984375
85.72870875149809,9749406.60042762,392.37946426447513,866.0030090827313,659.9844163762849,36.98420801513693,3370.345458984375
32.0,10120479.00964807,392.8246814210605,900.2723876499556,663.5817124539233,38.50528656925479,3370.345458984375
78.03980563765904,14092736.324531533,285.7673005482085,895.4075402408773,826.0431140912087,46.90749048838989,3370.345458984375
56.1097717135584,10836558.373306425,354.0531259914567,927.9235131309057,741.1538940604013,41.083464739126434,3370.345458984375
85.78944908048608,12339908.745416675,301.77580379476564,794.7751014009407,855.4433796396424,44.940248893950766,3370.345458984375
32.0,15669937.947846066,363.91538981910077,515.95072457731,827.5957732107202,48.0,3370.345458984375
32.140586337211744,10824261.581305932,386.7004871454029,690.365783865723,664.4636557504379,42.22113080503536,3370.345458984375
102.32244240848839,13384142.294264512,389.91253348190287,954.4798038086371,806.214352511563,47.78682818865171,3370.345458984375
87.4311770862418,10478631.972686987,321.802312429775,823.1171385816675,720.4333642859463,40.87878526204848,3370.345458984375
92.96466185578946,5613808.119040599,376.35494830423704,896.2273775643075,639.8215383583628,43.12266366844181,3370.345458984375
65.32059536772732,6286818.4738195725,396.5149801707581,789.4555554841339,811.4428528015035,38.61410350816704,3370.345458984375
89.72147590577138,13037089.842865733,251.43742762691224,1000.0,590.1060937986583,42.455187164542025,3370.345458984375
93.8473715417975,15728640.0,289.40463921325244,987.0677941148882,846.8428637603655,41.94425576597129,3370.345458984375
97.51055238440091,15728640.0,377.6075355562127,624.4593779128198,717.0792083089266,44.538708603957886,3370.345458984375
32.504502834878,14328413.242895007,298.98876839950674,1000.0,836.3285048626591,44.817875182911564,3370.345458984375
33.029738622921855,14093159.667051494,257.3838532145163,1000.0,877.0,45.784129199993885,3370.345458984375
128.0,5242880.0,321.3475260937795,687.3459675392328,651.6887134576077,48.0,3370.345458984375
90.24298264189977,12013928.865372637,385.9299994606288,678.8681485035363,515.2632834896476,48.0,3370.345458984375
128.0,12546299.187079217,383.5752145014826,744.242943613797,847.8993954287223,44.652714916448595,3370.345458984375
49.553541417281,15728640.0,399.61141994233293,533.8170255968356,858.1349772248743,47.2405474446867,3370.345458984375
69.76408001937311,11935505.798687924,400.0,570.58029063295,506.30961405256454,41.59927755804633,3370.345458984375
