spark.storage.memoryMapThreshold,spark.scheduler.revive.interval,runtime
2.0,544.0,2193.375
1.0,646.4247209926391,2193.375
2.7539113956360888,530.8750590476593,2193.375
4.0,516.2707451724242,2193.375
1.0,1000.0,2193.375
2.5972635449310078,645.140210089377,2193.375
3.2101800582776217,815.7693906285647,2193.375
2.357824707725973,834.5742382829553,2193.375
3.2275291960273345,872.1475909888034,2193.375
2.7905662951711445,893.6530501998894,2193.375
1.0,864.2135836011604,2193.375
3.2287663293479563,1000.0,2193.375
4.0,596.8439409097948,2193.375
3.5245812837025112,500.0,2193.375
1.6205489190014724,618.3325868400067,2193.375
3.305071421348089,500.0,2193.375
3.2010939448079916,581.6214419717561,2193.375
3.3060195309870637,500.0,2193.375
3.1661381460006357,578.905023878991,2193.375
1.3303668117378824,944.7565321759039,2193.375
3.689283375894067,717.9062487606341,2193.375
3.3455141964062913,706.6642151488949,2193.375
3.702434470041815,720.1505184730428,2193.375
1.428631779095805,1000.0,2193.375
1.5793356030753007,651.141530277039,2193.375
1.58465019899894,953.3141177563924,2193.375
3.2258340353745627,860.3567716473287,2193.375
2.1670289865472876,1000.0,2193.375
1.1441918948854446,999.9850573938411,2193.375
3.5155935330490045,837.7259849686902,2193.375
