spark.executor.memory,spark.memory.storageFraction,runtime
11.0,0.5063492063492063,257.8265999999997
13.0,0.8238095238095238,257.3515799999998
13.0,0.8301587301587301,257.16563
14.0,0.8428571428571429,259.95223666666624
13.0,0.8492063492063492,256.7688716666664
11.0,0.5063492063492063,257.8265999999997
13.0,0.6206349206349207,256.98646666666673
13.0,0.8428571428571429,257.82507666666646
13.0,0.8492063492063492,256.7688716666664
11.0,0.5126984126984127,257.8265999999997
11.0,0.5126984126984127,257.8265999999997
11.0,0.5126984126984127,257.8265999999997
13.0,0.8428571428571429,257.82507666666646
13.0,0.8428571428571429,257.82507666666646
11.0,0.5126984126984127,257.8265999999997
11.0,0.5253968253968254,261.89574999999985
14.0,0.607936507936508,264.51316299999996
11.0,0.5063492063492063,257.8265999999997
14.0,0.8365079365079365,260.3185699999997
11.0,0.5063492063492063,257.8265999999997
13.0,0.8492063492063492,256.7688716666664
14.0,0.8365079365079365,260.3185699999997
13.0,0.6206349206349207,256.98646666666673
13.0,0.6142857142857143,256.98646666666673
11.0,0.5,258.7691599999998
11.0,0.5317460317460317,261.5739299999998
11.0,0.5190476190476191,258.82554999999974
13.0,0.6142857142857143,256.98646666666673
13.0,0.8238095238095238,257.3515799999998
13.0,0.6206349206349207,256.98646666666673
