spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
1.0,877.0,4.0,2.0,493.0,7.0,51.0,1.0,1.0,341.0,107.0,80.0,8.0,1790704896.0,0.74,0.63,0.0,1509579136.0,1556388864.0,55.0,0.0,747.0,0.0,36.0,4.0,286.0,3.0,211.025
1.0,663.0,6.0,3.0,602.0,6.0,53.0,0.0,0.0,246.0,104.0,75.0,4.0,1761481552.0,0.69,0.52,0.0,1830365737.0,1444634542.0,68.0,0.0,913.0,0.0,28.0,4.0,234.0,1.0,208.963
1.0,791.0,5.0,2.0,384.0,7.0,63.0,0.0,1.0,230.0,50.0,125.0,6.0,1837033664.0,0.88,0.66,1.0,1082928991.0,1642651196.0,64.0,1.0,888.0,0.0,41.0,4.0,237.0,2.0,210.847
1.0,729.0,3.0,1.0,384.0,6.0,49.0,1.0,0.0,307.0,106.0,35.0,8.0,1723786605.0,0.53,0.87,1.0,2116911157.0,1196496769.0,65.0,0.0,782.0,0.0,30.0,2.0,329.0,2.0,369.908
0.0,0.0,6.0,3.0,651.0,7.0,63.0,0.0,0.0,274.0,89.0,38.0,7.0,1615614720.0,0.83,0.74,0.0,1933776128.0,1487300096.0,57.0,1.0,541.0,0.0,25.0,1.0,192.0,1.0,169.767
0.0,0.0,6.0,3.0,645.0,7.0,62.0,0.0,0.0,279.0,87.0,43.0,7.0,1596943360.0,0.81,0.75,0.0,1841890048.0,1508124800.0,57.0,1.0,572.0,0.0,25.0,1.0,207.0,1.0,172.864
0.0,0.0,5.0,3.0,648.0,7.0,60.0,0.0,0.0,282.0,84.0,45.0,7.0,1657450496.0,0.79,0.73,0.0,1863067904.0,1458638976.0,55.0,1.0,575.0,0.0,26.0,1.0,217.0,1.0,208.592
1.0,986.0,3.0,1.0,384.0,4.0,46.0,1.0,1.0,346.0,78.0,87.0,4.0,1435411017.0,0.76,0.51,1.0,1693480742.0,2110078148.0,67.0,0.0,973.0,0.0,44.0,1.0,229.0,4.0,524.725
1.0,904.0,3.0,1.0,384.0,7.0,58.0,0.0,0.0,475.0,70.0,96.0,4.0,1570262827.0,0.86,0.6,0.0,2079720020.0,1707702089.0,32.0,1.0,751.0,1.0,31.0,3.0,152.0,4.0,340.702
0.0,0.0,6.0,3.0,542.0,4.0,59.0,0.0,0.0,213.0,61.0,40.0,4.0,1112814654.0,0.82,0.71,1.0,1397224852.0,1868414634.0,57.0,0.0,646.0,1.0,29.0,5.0,267.0,4.0,237.175
0.0,0.0,6.0,3.0,660.0,7.0,60.0,0.0,0.0,274.0,87.0,40.0,7.0,1618736896.0,0.84,0.74,0.0,1908687360.0,1482253696.0,57.0,0.0,591.0,0.0,25.0,1.0,205.0,1.0,174.232
0.0,0.0,6.0,3.0,653.0,7.0,60.0,0.0,0.0,285.0,89.0,46.0,7.0,1599306240.0,0.8,0.74,0.0,1883412096.0,1485136640.0,55.0,0.0,564.0,0.0,25.0,1.0,207.0,1.0,171.66
0.0,0.0,6.0,3.0,653.0,7.0,54.0,0.0,0.0,319.0,87.0,48.0,7.0,1606109312.0,0.75,0.72,0.0,1692274944.0,1520065536.0,54.0,0.0,635.0,0.0,28.0,1.0,225.0,1.0,209.135
0.0,0.0,6.0,3.0,677.0,8.0,39.0,0.0,0.0,363.0,74.0,119.0,5.0,2084596361.0,0.73,0.87,0.0,1395173649.0,1129162361.0,24.0,0.0,741.0,1.0,34.0,5.0,185.0,1.0,186.519
0.0,0.0,3.0,1.0,384.0,6.0,64.0,0.0,1.0,463.0,84.0,42.0,5.0,1396262977.0,0.74,0.84,1.0,1669872980.0,1837487032.0,39.0,0.0,709.0,1.0,20.0,3.0,303.0,4.0,379.725
0.0,0.0,6.0,3.0,502.0,6.0,56.0,0.0,0.0,350.0,47.0,48.0,4.0,1094977212.0,0.89,0.8,0.0,1668896067.0,1096642888.0,47.0,0.0,922.0,0.0,22.0,5.0,192.0,1.0,197.125
0.0,0.0,6.0,3.0,647.0,7.0,57.0,0.0,0.0,286.0,91.0,46.0,7.0,1602793728.0,0.78,0.74,0.0,1876072704.0,1542786816.0,54.0,1.0,605.0,0.0,25.0,1.0,215.0,1.0,210.26
0.0,0.0,6.0,3.0,655.0,7.0,57.0,0.0,0.0,283.0,86.0,49.0,7.0,1606065408.0,0.78,0.74,0.0,1894500352.0,1450184832.0,55.0,1.0,578.0,0.0,27.0,1.0,220.0,1.0,200.215
0.0,0.0,6.0,3.0,660.0,7.0,54.0,0.0,0.0,302.0,86.0,58.0,7.0,1609586944.0,0.75,0.75,0.0,1736348672.0,1478062336.0,55.0,1.0,634.0,0.0,28.0,1.0,214.0,1.0,171.144
0.0,0.0,5.0,2.0,444.0,8.0,52.0,0.0,0.0,464.0,111.0,99.0,6.0,2009405841.0,0.71,0.61,0.0,1386295106.0,1700316731.0,38.0,1.0,630.0,0.0,33.0,5.0,317.0,3.0,204.332
0.0,0.0,5.0,2.0,473.0,5.0,54.0,0.0,1.0,494.0,98.0,54.0,4.0,1087950863.0,0.66,0.62,1.0,1444711210.0,1758192813.0,40.0,0.0,996.0,1.0,26.0,3.0,219.0,1.0,328.641
1.0,550.0,6.0,3.0,512.0,6.0,36.0,1.0,1.0,433.0,80.0,62.0,5.0,1536192361.0,0.73,0.57,0.0,1084381778.0,1118136733.0,39.0,0.0,665.0,1.0,35.0,4.0,336.0,1.0,218.732
0.0,0.0,6.0,3.0,668.0,7.0,54.0,0.0,0.0,305.0,84.0,57.0,7.0,1602597632.0,0.74,0.74,0.0,1722882048.0,1471361536.0,54.0,0.0,638.0,0.0,29.0,1.0,218.0,1.0,177.066
0.0,0.0,6.0,3.0,673.0,7.0,52.0,0.0,0.0,304.0,84.0,60.0,7.0,1614295936.0,0.74,0.75,0.0,1693553920.0,1469606656.0,52.0,0.0,631.0,0.0,29.0,1.0,217.0,1.0,172.4
0.0,0.0,6.0,3.0,644.0,7.0,53.0,0.0,0.0,312.0,85.0,70.0,7.0,1584026624.0,0.72,0.76,0.0,1713210752.0,1489078272.0,51.0,0.0,683.0,0.0,29.0,1.0,210.0,1.0,179.486
0.0,0.0,5.0,2.0,429.0,4.0,37.0,0.0,1.0,318.0,80.0,103.0,7.0,1599717883.0,0.87,0.6,1.0,1657445294.0,1791106883.0,43.0,0.0,804.0,0.0,18.0,1.0,209.0,2.0,307.873
1.0,556.0,5.0,2.0,388.0,8.0,36.0,0.0,1.0,272.0,115.0,34.0,5.0,1306794530.0,0.59,0.63,0.0,1208953509.0,1759458459.0,69.0,0.0,602.0,0.0,43.0,3.0,172.0,3.0,219.51
1.0,875.0,6.0,3.0,471.0,6.0,36.0,0.0,1.0,451.0,112.0,73.0,10.0,1779767673.0,0.6,0.89,0.0,1431308867.0,1076983003.0,41.0,1.0,952.0,0.0,37.0,4.0,329.0,2.0,193.315
0.0,0.0,6.0,3.0,660.0,7.0,52.0,0.0,0.0,304.0,84.0,60.0,7.0,1569704448.0,0.74,0.74,0.0,1666013952.0,1504305664.0,54.0,1.0,630.0,0.0,29.0,1.0,229.0,1.0,201.655
