spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
3.0,7.0,8.0,177.9527448070971
3.3641259069426463,7.0,8.0,177.9527448070971
3.0,6.79103954345746,8.0,177.9527448070971
3.107975246217439,7.0,8.0,177.9527448070971
3.9892397749893793,6.917807662163825,7.893670646556492,177.9527448070971
3.3411873150550098,7.0,7.6901774494773925,177.9527448070971
3.387184815851917,7.0,7.957307553899266,177.9527448070971
2.9789690372123334,7.0,7.929698434379973,177.9527448070971
3.9987907788367067,6.771275174817035,7.934835210487318,177.9527448070971
3.7181849397192313,7.0,7.8637661317658205,177.9527448070971
3.536055462090806,6.931420193282406,7.921085418713141,177.9527448070971
2.9782166323600014,6.990686711694737,7.687492927327259,177.9527448070971
3.9203671939514337,6.901818423601779,8.0,177.9527448070971
3.7433374274705993,7.0,7.89413967993576,177.9527448070971
3.0611127910238416,7.0,8.0,177.9527448070971
3.2096639114428074,6.8776503040422305,8.0,177.9527448070971
3.799558993233376,7.0,7.972397876181573,177.9527448070971
3.0382235533269135,6.999646798297979,8.0,177.9527448070971
3.996719269664206,6.89907823005822,8.0,177.9527448070971
2.8389744776413286,6.749604827299171,8.0,177.9527448070971
2.9033015933896182,6.928332601420443,7.98316354515363,177.9527448070971
3.9687127397597,6.985202104349521,7.9568009632403465,177.9527448070971
3.0311065090333775,6.882559555778112,7.953683020752206,177.9527448070971
3.688757786880071,7.0,7.999947169899836,177.9527448070971
3.9999915810671824,6.882812198101348,7.980146170061254,177.9527448070971
3.103886900702247,6.784944841387316,7.9753869948171765,177.9527448070971
3.774537820333463,6.9296157136513346,7.95847515952453,177.9527448070971
3.191516828819842,6.998576838042764,8.0,177.9527448070971
3.768530285579834,6.763467305435984,7.999733882260626,177.9527448070971
4.0,6.801149068611041,7.940114802364075,177.9527448070971
