spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
3.0,7.0,8.0,194.57205882352943
3.0,6.959270122377383,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
3.0757160237219017,6.698660963864691,7.8944315899744435,194.57205882352943
3.831971975553277,6.694179192066316,8.0,194.57205882352943
2.9720419204494473,6.629938929267565,8.0,194.57205882352943
2.6089305692329643,7.0,7.958727259785258,194.57205882352943
2.5272810018331886,7.0,8.0,194.57205882352943
3.455452938198748,6.770159572856371,7.998399020487848,194.57205882352943
3.2360612215639275,6.796606504531156,7.91349869675267,194.57205882352943
3.3855588344676812,7.0,8.0,194.57205882352943
3.681179125211316,6.98257397275235,8.0,194.57205882352943
3.7335521430407352,6.888637374477348,7.999540989625867,194.57205882352943
3.56436976215458,6.9443177474840425,7.994332181470298,194.57205882352943
3.8752411069515786,6.838299836118897,7.978298485528053,194.57205882352943
3.7632488127510726,6.993612863735589,7.958807114257626,194.57205882352943
3.9885694133363705,6.90575491835085,8.0,194.57205882352943
4.0,6.920683986901315,7.982198401145078,194.57205882352943
3.5376077200646474,6.932200185438162,7.978471433733899,194.57205882352943
2.6443713579163886,6.982144045825322,7.949897255321835,194.57205882352943
4.0,6.978687105521635,7.985893860667809,194.57205882352943
4.0,6.948473616838177,7.997397457647391,194.57205882352943
2.8257945871109236,6.911731347293027,7.522310726388406,194.57205882352943
3.060186502201187,6.749221092905125,8.0,194.57205882352943
3.95756681101945,6.958237632125101,7.937387464459009,194.57205882352943
3.925121837384,6.88318014044833,7.884475520279783,194.57205882352943
3.5801249536767097,6.546312504631236,7.996875859265,194.57205882352943
3.3203123255133202,7.0,8.0,194.57205882352943
3.8446605568835315,6.605825419755877,7.749214457940335,194.57205882352943
3.9665770470251553,6.981929912762926,8.0,194.57205882352943
