spark.executor.cores,spark.executor.instances,spark.executor.memory,runtime
3.0,8.0,7.0,177.91313
2.709042461898741,7.9433652882281445,7.0,177.91313
3.0000000000000004,7.96726145268604,7.0,177.91313
3.8965340207789545,7.505612465068703,7.0,177.91313
3.6893506557662987,7.687548610332979,7.0,177.91313
3.992167637887358,7.500611467785443,6.990012196823765,177.91313
3.5298883111218213,8.0,6.523382989907791,177.91313
2.6439282899923553,7.665906841131633,6.974159415127487,177.91313
3.8830000141550656,7.762011740265045,6.7438674074965075,177.91313
3.6025676206941646,7.643636945955581,6.675626664155207,177.91313
3.5999806501962905,7.86474833124791,6.994736675870831,177.91313
3.2635359629996046,7.714456534354788,7.0,177.91313
3.8724758775694346,7.962599061830678,7.0,177.91313
3.290576520588322,7.79113656890758,6.921903369485796,177.91313
3.9810090559045994,7.566021752251134,7.0,177.91313
3.5107919365787774,8.0,6.804229705641891,177.91313
2.5151456272919828,8.0,6.710774903056096,177.91313
4.0,7.9997206843192545,6.98996539249965,177.91313
4.0,7.987420418377093,6.8659123402518585,177.91313
4.0,7.9918793207013845,6.696219019695235,177.91313
2.993493233932104,7.846944840148674,6.955357194196309,177.91313
3.1401846945450558,7.991433648818811,6.9812254322679514,177.91313
3.5102720574974544,7.65395448795485,6.7373842319533095,177.91313
3.3204112313752447,7.796205681982384,6.962535387530855,177.91313
3.444581400753936,7.9095607460093404,6.85437446938333,177.91313
3.993446236573365,7.94097576115406,6.742424237287633,177.91313
3.379762732270359,7.978269467214043,6.968225409222173,177.91313
3.950254182146097,7.8517470064905,6.949503221824013,177.91313
3.9299085660616395,7.990071206326509,6.937787393369325,177.91313
3.4340233500457504,7.621572296496387,6.961268159305327,177.91313
