spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
3.0,6.0,8.0,272.54655141829465
3.6022575248288957,5.3852504134468155,7.0,203.70454516146387
3.530829500771674,6.638537714234674,7.875537858399284,194.6399887344496
3.7744113273057343,5.132817924476637,8.0,194.6399887344496
3.812780755222316,5.857056962280179,7.790730443984382,194.6399887344496
3.9608900197710644,3.6158934079281155,8.0,194.6399887344496
3.9861122739598023,3.2890518095145027,8.0,194.6399887344496
3.949088813940671,6.280612973259094,7.953273699346275,194.6399887344496
3.786871626841791,3.0,7.920812732015826,194.6399887344496
3.742630451646329,5.138813042139833,8.0,194.6399887344496
3.9644245506789195,6.6723330207353495,7.871938034584577,194.6399887344496
3.9953432960588846,6.307352919448399,7.843074692320592,194.6399887344496
3.999583032053433,6.9633768173954005,7.972335815593919,194.6399887344496
3.9983405984194205,7.0,7.9940521375361,194.6399887344496
3.641265319041324,5.582743524333198,7.8938650303885325,194.6399887344496
3.987618053220012,6.83007186944719,7.899741730273561,194.6399887344496
3.9663576892763723,4.650206372468023,7.785163986392026,194.6399887344496
3.994231550241917,3.4701549059384953,7.946621442852736,194.6399887344496
3.9981287611753125,5.886598269738192,8.0,194.6399887344496
3.523297470993514,6.796383740303157,7.950601310498506,194.6399887344496
4.0,6.654134624456605,7.829464567712184,194.6399887344496
4.0,6.130628944567702,7.941910901936314,194.6399887344496
3.937300758488129,5.234582946231104,7.997691937473659,194.6399887344496
3.9706925829635074,4.572333942304645,7.935378734473301,194.6399887344496
3.9977323083965075,6.747830051055709,7.985748122895167,194.6399887344496
3.9059299431153223,3.0579249870968654,7.988509026418292,194.6399887344496
3.9768647191846793,6.645270878664398,7.6097647818909415,194.6399887344496
3.951839693989373,6.363030714803597,7.95797325006612,194.6399887344496
3.9866847147889897,6.483744203215014,7.97149857200392,194.6399887344496
3.8841766712815122,6.942236288237348,8.0,194.6399887344496
