spark.memory.fraction,spark.maxRemoteBlockSizeFetchToMem,spark.executor.memoryOverhead,spark.reducer.maxReqsInFlight,spark.executor.instances,spark.default.parallelism,spark.shuffle.sort.bypassMergeThreshold,runtime
0.626984126984127,1620198783.0,396.0,1675501952.0,8.0,341.0,212.0,215.583
0.6396825396825396,1617605502.0,431.0,1652192133.0,8.0,348.0,166.0,215.583
0.7857142857142857,1657034364.0,473.0,1781166982.0,8.0,363.0,345.0,215.583
0.8492063492063492,1904468433.0,641.0,1780824584.0,8.0,461.0,320.0,213.83933333333334
0.7857142857142857,1137526319.0,784.0,1850758838.0,8.0,212.0,346.0,212.71733333333336
0.7730158730158729,1121207968.0,767.0,1850758331.0,8.0,212.0,346.0,212.71733333333336
0.7666666666666666,1315702383.0,763.0,1852855539.0,8.0,202.0,346.0,212.71733333333336
0.8873015873015873,1591867175.0,509.0,1796272782.0,8.0,221.0,294.0,213.12633333333335
0.6333333333333333,1920060738.0,774.0,1663529682.0,8.0,425.0,345.0,212.71733333333336
0.861904761904762,1215216651.0,684.0,1648623247.0,8.0,246.0,323.0,213.83933333333334
0.6396825396825396,1266588671.0,802.0,1648622255.0,8.0,259.0,323.0,211.97342857142854
0.626984126984127,1261339124.0,801.0,1778631613.0,8.0,268.0,323.0,211.97342857142854
0.8936507936507936,1074745048.0,661.0,1649824666.0,8.0,201.0,313.0,213.12633333333335
0.626984126984127,1804022217.0,623.0,2027081899.0,8.0,259.0,319.0,211.97342857142854
0.7920634920634921,1272192407.0,506.0,1764916051.0,8.0,378.0,312.0,213.83933333333334
0.6460317460317461,1396836513.0,841.0,1930131089.0,8.0,248.0,343.0,212.71733333333336
0.6460317460317461,1103325383.0,855.0,1889030936.0,8.0,443.0,327.0,211.97342857142854
0.8682539682539683,2140150830.0,607.0,2017774606.0,8.0,424.0,312.0,215.583
0.8809523809523809,1589728739.0,658.0,2101497171.0,8.0,413.0,323.0,215.583
0.6904761904761905,1371609534.0,778.0,1716908674.0,8.0,387.0,305.0,213.83933333333334
0.6904761904761905,1367415226.0,839.0,1716908551.0,8.0,387.0,305.0,213.83933333333334
0.7285714285714285,1534367864.0,658.0,1793199213.0,8.0,221.0,309.0,213.12633333333335
0.6460317460317461,1227958691.0,869.0,1816620334.0,8.0,314.0,305.0,211.97342857142854
0.626984126984127,1233721836.0,412.0,1769425797.0,8.0,262.0,305.0,211.97342857142854
0.626984126984127,1140390493.0,435.0,1785906431.0,8.0,262.0,306.0,211.97342857142854
0.8047619047619048,1077326412.0,595.0,1686074596.0,8.0,340.0,305.0,213.83933333333334
0.8936507936507936,1427159409.0,456.0,1682920518.0,8.0,225.0,303.0,213.12633333333335
0.6333333333333333,1905566281.0,807.0,2037520638.0,8.0,300.0,319.0,211.97342857142854
0.6460317460317461,2062779009.0,499.0,1928978896.0,8.0,431.0,306.0,211.97342857142854
0.6396825396825396,1784789468.0,593.0,1684838485.0,8.0,414.0,344.0,212.71733333333336
