spark.memory.fraction,spark.reducer.maxReqsInFlight,spark.executor.instances,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.sort.bypassMergeThreshold,runtime
0.6460317460317461,1646180096.0,8.0,1621138175.0,232.0,204.79377790398496
0.626984126984127,1673109952.0,8.0,1619023360.0,212.0,210.75563613909355
0.8873015873015873,1889999616.0,8.0,1643810762.0,212.0,212.70428230389237
0.7603174603174603,1203302712.0,8.0,1176486239.0,176.0,211.87403278687256
0.8682539682539683,1783286836.0,8.0,1275843863.0,177.0,198.21199385693902
0.8936507936507936,1838860468.0,8.0,1166660946.0,177.0,199.95163112749376
0.7857142857142857,1657953696.0,8.0,1401856297.0,228.0,201.83418568219665
0.8301587301587301,1659919212.0,8.0,1395564971.0,228.0,201.83418568219665
0.7857142857142857,2087829686.0,8.0,1205004254.0,207.0,200.18500425934323
0.7984126984126985,1687152377.0,8.0,1100747565.0,234.0,203.05896379384717
0.7476190476190476,1657792441.0,8.0,1448054260.0,233.0,201.83418568219665
0.7857142857142857,1692042062.0,8.0,1148351901.0,249.0,202.74829942933846
0.8301587301587301,1902611097.0,8.0,1377797764.0,233.0,203.94766425031577
0.8746031746031746,1692924399.0,8.0,1131049619.0,234.0,203.05896379384717
0.8492063492063492,1941006328.0,8.0,1171692510.0,239.0,203.98662050280294
0.8936507936507936,1771156971.0,8.0,1194999674.0,198.0,199.09034366632142
0.8428571428571429,1941940134.0,8.0,1234839739.0,188.0,200.82998093687615
0.8111111111111111,1941865634.0,8.0,1233823935.0,189.0,200.82998093687615
0.8111111111111111,1902000601.0,8.0,1374371594.0,196.0,200.82998093687615
0.8555555555555556,1889928344.0,8.0,1372276618.0,234.0,203.94766425031577
0.7095238095238096,2112556925.0,8.0,1557026938.0,181.0,207.36224695410587
0.7603174603174603,1978395334.0,8.0,1589324510.0,175.0,203.70480080901842
0.8555555555555556,2037080802.0,8.0,1588817118.0,175.0,203.70480080901842
0.7920634920634921,1697648724.0,8.0,1141857356.0,166.0,199.06293067102516
0.8682539682539683,1692128984.0,8.0,1141857358.0,166.0,199.06293067102516
0.6968253968253968,1960193569.0,8.0,1482507473.0,158.0,207.59395863826398
0.8301587301587301,1888195924.0,8.0,1317454348.0,184.0,199.95163112749376
0.7412698412698413,1904914928.0,8.0,1317454348.0,184.0,199.95163112749376
0.8428571428571429,1943695645.0,8.0,1317454226.0,184.0,199.95163112749376
0.8428571428571429,1895553039.0,8.0,1317464474.0,152.0,199.95163112749376
