,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0,37,0,1,490,3,4,6,490,111,97,4,2125962684,0.83,0,369,0.61,1,2050301592,1572315378,62,1,775,1,39,3,246,3,271.052
1,54,1,1,388,1,6,6,604,87,107,10,1185784156,0.83,1,674,0.57,1,1261000327,1975303847,65,1,811,0,25,5,209,4,792.853
2,48,1,0,481,4,7,3,479,78,77,4,1629048023,0.74,0,960,0.5,0,1844518661,2062676508,71,0,666,1,31,5,304,1,100000.0
3,37.0,0.0,1.0,480.0,3.0,4.0,6.0,466.0,111.0,97.0,4.0,2088592128.0,0.8199999928474426,0.0,364.0,0.6000000238418579,1.0,2029464448.0,1577127040.0,62.0,1.0,780.0,1.0,39.0,3.0,247.0,3.0,258.363
4,38.0,0.0,1.0,479.0,3.0,4.0,6.0,508.0,107.0,97.0,4.0,2039188096.0,0.8199999928474426,0.0,406.0,0.6000000238418579,1.0,2024228992.0,1574308352.0,60.0,1.0,769.0,1.0,39.0,3.0,235.0,3.0,248.123
5,43.0,0.0,1.0,404.0,3.0,5.0,6.0,528.0,97.0,85.0,5.0,1857844992.0,0.7599999904632568,0.0,450.0,0.6399999856948853,1.0,1811834880.0,1532333056.0,54.0,1.0,767.0,1.0,38.0,3.0,249.0,3.0,219.274
