spark.maxRemoteBlockSizeFetchToMem,spark.executor.memoryOverhead,spark.scheduler.revive.interval,spark.memory.storageFraction,runtime
2025745926.0,755.0,927.0,0.5698412698412698,195.68523470643703
1430863798.0,646.0,779.0,0.7031746031746031,195.68523470643703
1584191488.0,640.0,747.0,0.6968253968253968,195.68523470643703
1694777142.0,697.0,669.0,0.7031746031746031,195.68523470643703
1790401929.0,384.0,956.0,0.6968253968253968,195.68523470643703
1430822773.0,815.0,544.0,0.7031746031746031,195.68523470643703
1080734322.0,567.0,591.0,0.8682539682539683,195.68523470643703
1478333870.0,615.0,763.0,0.6523809523809524,195.68523470643703
1521280137.0,578.0,737.0,0.8746031746031746,195.68523470643703
1682122876.0,698.0,508.0,0.6904761904761905,195.68523470643703
1831620024.0,385.0,811.0,0.8746031746031746,195.68523470643703
1344142221.0,692.0,842.0,0.626984126984127,195.68523470643703
2032290179.0,640.0,729.0,0.861904761904762,195.68523470643703
1115010050.0,640.0,771.0,0.626984126984127,195.68523470643703
1496115704.0,425.0,980.0,0.6523809523809524,195.68523470643703
1719566965.0,715.0,711.0,0.6777777777777778,195.68523470643703
2032421133.0,564.0,781.0,0.753968253968254,195.68523470643703
1683207035.0,767.0,508.0,0.6777777777777778,195.68523470643703
1890351902.0,603.0,785.0,0.861904761904762,195.68523470643703
1322885843.0,705.0,910.0,0.8428571428571429,195.68523470643703
1772410955.0,625.0,998.0,0.7095238095238096,195.68523470643703
1188816142.0,682.0,783.0,0.6460317460317461,195.68523470643703
2032982539.0,695.0,785.0,0.861904761904762,195.68523470643703
1717490037.0,642.0,520.0,0.6777777777777778,195.68523470643703
1790187557.0,670.0,872.0,0.7666666666666666,195.68523470643703
1188279537.0,651.0,532.0,0.6333333333333333,195.68523470643703
2074500097.0,610.0,605.0,0.7222222222222222,195.68523470643703
1435402987.0,705.0,692.0,0.5317460317460317,195.68523470643703
1764653596.0,594.0,992.0,0.861904761904762,195.68523470643703
1188762865.0,872.0,502.0,0.7285714285714285,195.68523470643703
