spark.executor.memory,spark.memory.fraction,spark.executor.cores,spark.shuffle.compress,runtime
11.0,0.5,5.0,1.0,264.1810599999998
11.0,0.5063492063492063,5.0,1.0,264.1810599999998
11.0,0.5063492063492063,4.0,1.0,264.1810599999998
11.0,0.5126984126984127,4.0,0.0,264.1810599999998
11.0,0.5063492063492063,4.0,1.0,264.1810599999998
11.0,0.5126984126984127,6.0,1.0,264.1810599999998
11.0,0.5,4.0,1.0,264.1810599999998
11.0,0.5,6.0,1.0,264.1810599999998
11.0,0.5,7.0,1.0,264.1810599999998
11.0,0.5,7.0,1.0,264.1810599999998
11.0,0.5190476190476191,4.0,0.0,264.4694399999998
11.0,0.5,5.0,1.0,264.1810599999998
11.0,0.5317460317460317,6.0,0.0,266.34848
11.0,0.5317460317460317,4.0,1.0,266.34848
11.0,0.5317460317460317,4.0,0.0,266.34848
11.0,0.5,4.0,0.0,264.1810599999998
11.0,0.5063492063492063,6.0,0.0,264.1810599999998
11.0,0.5126984126984127,6.0,0.0,264.1810599999998
11.0,0.5063492063492063,7.0,0.0,264.1810599999998
11.0,0.5,7.0,0.0,264.1810599999998
11.0,0.5317460317460317,4.0,1.0,266.34848
11.0,0.5190476190476191,6.0,1.0,264.4694399999998
11.0,0.5,7.0,1.0,264.1810599999998
11.0,0.5,6.0,0.0,264.1810599999998
11.0,0.5126984126984127,6.0,1.0,264.1810599999998
11.0,0.5,4.0,0.0,264.1810599999998
11.0,0.5,7.0,0.0,264.1810599999998
11.0,0.5,5.0,0.0,264.1810599999998
11.0,0.5,7.0,1.0,264.1810599999998
11.0,0.5190476190476191,5.0,1.0,264.4694399999998
