spark.executor.cores,spark.executor.instances,runtime
3.0,8.0,179.75833
3.0,7.733857213608548,179.75833
3.993320097375782,8.0,179.75833
3.402877508147882,8.0,179.75833
3.26251162218131,7.797071589855757,179.75833
3.896029514711131,7.522921611067372,179.75833
3.972818842997921,7.566526062557973,179.75833
3.979164768200172,7.688209325090622,179.75833
3.189268923768966,7.778785141607476,179.75833
3.266557093045248,7.638533524757112,179.75833
3.319937194539225,7.871470531102286,179.75833
3.0564814260211053,7.919345594965561,179.75833
3.0501922466472333,7.8924283763788035,179.75833
3.400944093706098,7.791844039327594,179.75833
3.7267293013807157,7.869326135452279,179.75833
3.8285783059301695,7.792197748167518,179.75833
3.385627098383092,7.790267057099042,179.75833
3.831153204092663,7.987604678120814,179.75833
3.6317455228210784,7.7972488047929875,179.75833
2.6678574394894907,7.686252043293511,179.75833
3.989376694395955,7.826704114944748,179.75833
2.6596365887780506,7.617004431857615,179.75833
2.982578406152415,8.0,179.75833
3.9970416530546684,7.707816279297369,179.75833
3.688476151214045,7.956799690416732,179.75833
3.5371172993175417,7.955853980987852,179.75833
3.6664918514941496,7.7024769271072655,179.75833
3.883346404447417,7.6692144990795015,179.75833
2.9449130925417766,7.803027977419683,179.75833
2.742288044877025,7.696055975969661,179.75833
