spark.default.parallelism,spark.rdd.compress,runtime
475.0,1.0,240.01984752308238
350.0,0.0,240.01984752308238
441.8537493584445,0.0,240.01984752308238
274.4588717550365,0.0,240.01984752308238
344.3909319811537,1.0,240.01984752308238
319.7461797009992,1.0,240.01984752308238
420.7822214595031,0.0,240.01984752308238
333.7697136384912,0.968953779834148,240.01984752308238
369.496267158196,0.19582744847143968,240.01984752308238
320.6608057844687,0.047990254234641226,240.01984752308238
476.1627471230673,0.07301611195652541,240.01984752308238
358.03591205479444,0.20418461654669526,240.01984752308238
416.6322981414326,0.7945559721303861,240.01984752308238
499.7403761593079,0.107653653782521,240.01984752308238
218.03347062948444,0.0,240.01984752308238
297.78049715672324,0.9371366641081681,240.01984752308238
232.5936261242073,1.0,240.01984752308238
200.0,0.8467421967468352,240.01984752308238
203.40295991205434,0.9533589366131684,240.01984752308238
236.9070416794149,0.7679575023515544,240.01984752308238
208.45850874353116,0.9876583578334752,240.01984752308238
221.85816721827487,0.8530691966778534,240.01984752308238
245.5615990545421,0.8512066170012702,240.01984752308238
323.436015728533,0.4804501123472046,240.01984752308238
262.50503930455386,0.24815284558027662,240.01984752308238
201.4145500804886,1.0,240.01984752308238
500.0,0.0,240.01984752308238
208.32499069644817,0.900196220057006,240.01984752308238
257.052276548445,0.6080320653187649,240.01984752308238
435.17376204725633,0.2999294765016596,240.01984752308238
