spark.executor.cores,spark.executor.memory,spark.executor.memoryOverhead,spark.executor.instances,spark.reducer.maxBlocksInFlightPerAddress,spark.kryoserializer.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxReqsInFlight,runtime
3.0,6.0,497.0,7.0,1972017536.0,87.0,1763204352.0,1117628928.0,202.34605000000002
3.414757251624776,6.0,497.0,7.0,1972017536.0,87.0,1763204352.0,1117628928.0,202.34605000000002
3.8760261070829425,6.670479708472918,494.4990005002363,7.1177080018204,1898156016.64331,56.95178111531561,1789220252.1493492,1110950181.709931,202.01701000000006
2.98049828256444,5.587528629763526,498.3414341395708,6.999999999999999,1961264723.4674187,88.03798300218676,1750994331.59645,1097889332.7896094,201.62385000000006
3.0356323377790924,6.983579616884821,479.0431853571547,7.627654813603126,1990847153.2306,95.28397859127173,1730931872.5098362,1103644697.8664718,201.11412000000007
3.102135781587977,7.0,449.6426573926538,7.655689561568209,1987567346.544228,48.98035711653766,1792142847.745169,1109125492.7521458,200.94927000000007
2.8239581260842983,6.752652411805897,423.0635683131462,7.512837086916776,1887216836.8128428,32.0,1073741567.0,1510549801.9275649,201.24239
3.47656957253135,7.0,398.8057925929051,7.505756514054749,1930570672.8837295,32.0,1213386538.6117053,1447872360.340683,200.13775
3.9502521804501347,7.0,395.84383004507265,7.517575607036004,1930971455.5736103,58.02742872289664,1146901925.0007434,1455775107.7096848,200.13775
3.954602957319417,6.96455026548165,447.18135260376823,7.502627804436326,1923621582.0172386,57.97293531617323,1119172194.6229098,1513232038.1603222,200.09330000000003
3.68380033673088,6.960371398816804,443.9584319457722,7.510756838567229,1922977333.3169358,58.25711233969433,1115243061.835258,1515005055.0507956,200.09330000000003
3.701783485989883,6.939078416695851,442.10352924891,7.512855792726803,1940333400.842077,59.67115513156912,1100386494.900971,1509849548.5390992,200.07932
3.3939787175667817,6.990152449904707,433.8879537029546,7.509564747372069,1924321704.189868,55.07744163547544,1145527207.09547,1513662876.859192,200.01003
3.1921991518610553,7.0,448.70731872749184,7.511903531671759,1972436741.5189464,35.97489832694875,1369051866.3698664,1073741823.0,200.08993000000007
3.379507172867939,7.0,425.5322559544756,7.513737043772361,1929003200.1733844,60.68273049010426,1137806510.57153,1507772443.403563,199.90422
3.9195084458956204,6.9204334570214705,495.60270301928597,7.670176715128131,1968354772.6314158,34.46517705016845,1400824742.530453,1073741823.0,199.98932000000005
3.482370384071834,7.0,474.278396773846,7.864536328248917,1966914074.4301457,49.03822315399702,1429157377.2254183,1073741823.0,200.18174000000002
2.868586352702965,7.0,428.635959107901,7.630954420991953,1958905988.3027158,45.73435417507289,1298501922.8885934,1073741823.0,199.91956000000005
3.3831123978847524,6.994870304137737,441.5048461625923,7.576869809329727,1963180724.6350927,36.69503830227082,1448834185.1363316,1479807587.7545962,199.66302000000005
3.3831123978847524,6.994870304137737,441.5048461625923,7.576869809329727,1963180724.6350927,36.69503830227082,1448834185.1363316,1479807587.7545962,199.66302000000005
2.9336466323918198,6.889375887957803,441.1380080047551,7.577459796039008,1962852450.3574598,32.0,1443001714.1745534,1504629465.2206228,199.32841000000005
2.9336466323918198,6.889375887957803,441.1380080047551,7.577459796039008,1962852450.3574598,32.0,1443001714.1745534,1504629465.2206228,199.32841000000005
2.9778142692465206,6.906547041155354,436.57475784065616,7.54600727944193,1960916305.0277429,47.74323728239921,1462568816.2463615,1450415496.1200976,199.49265000000003
3.9013278875924438,6.999622672046628,410.77372918462925,7.656278551076122,1959050738.0677552,81.61479244838704,1255260186.9849694,1073741823.0,199.81375000000003
3.4952664603738,6.911690001785576,405.7590792898747,7.677091725315556,1962515083.2692327,121.18547732865501,1135654760.9382198,1080610260.996684,199.81375000000003
3.970320451732053,6.991645841292284,412.504288501575,7.684851458886602,1959049688.8949423,96.81805814212757,1231783942.6325088,1073741823.0,199.81375000000003
3.3772274887751363,6.7090704941165,412.0537911778118,7.665815564001399,1958615953.5952542,87.21102496166172,1076606303.3028576,1108429368.6689856,199.74071000000004
4.0,6.900935713704138,418.7393303306079,7.540103149180165,1970251588.934552,103.1204607655868,1073741567.0,1087257195.0093772,199.81375000000003
3.3146597505979254,6.997575337960882,398.54027517892075,7.608604119314148,1959529187.789051,99.75926076163562,1418872901.2129421,1073741823.0,199.81375000000003
3.3771151174578495,7.0,464.4704825319998,7.802651228433173,1979518956.3587732,66.28821431882041,1520180023.633249,1074578057.03473,199.79141000000004
