spark.shuffle.io.numConnectionsPerPeer,spark.executor.instances,spark.memory.storageFraction,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.default.parallelism,spark.broadcast.blockSize,spark.reducer.maxBlocksInFlightPerAddress,spark.shuffle.file.buffer,spark.scheduler.revive.interval,spark.kryoserializer.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.executor.memoryOverhead,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer.max,spark.reducer.maxSizeInFlight,spark.memory.offHeap.size,spark.locality.wait,spark.executor.memory,spark.scheduler.mode,spark.storage.memoryMapThreshold,spark.shuffle.compress,spark.broadcast.compress,runtime
1.0,5.0,0.5380952380952381,1259224103.0,0.8492063492063492,441.0,64.0,2104019338.0,37.0,759.0,32.0,298.0,384.0,1333797757.0,92.0,32.0,0.0,5.0,3.0,0.0,4.0,0.0,1.0,216.46442
4.0,6.0,0.607936507936508,1102086271.0,0.5253968253968254,345.0,39.0,1085153271.0,38.0,744.0,95.0,243.0,497.0,1768850466.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
4.0,7.0,0.5190476190476191,1560215691.0,0.626984126984127,346.0,55.0,1751835136.0,24.0,728.0,95.0,243.0,497.0,1768916002.0,126.0,52.0,777.0,10.0,3.0,1.0,4.0,0.0,1.0,213.81747
4.0,5.0,0.607936507936508,1326332952.0,0.6587301587301587,313.0,54.0,1754265760.0,27.0,758.0,73.0,234.0,384.0,1458157734.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.13713
5.0,6.0,0.6587301587301587,1326332952.0,0.6587301587301587,317.0,54.0,1754267136.0,24.0,747.0,76.0,223.0,384.0,1458157734.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.08693
1.0,5.0,0.626984126984127,1320714948.0,0.8301587301587301,332.0,55.0,1745418404.0,27.0,747.0,76.0,223.0,384.0,1458157734.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,0.0,212.08693
3.0,6.0,0.6396825396825396,1311667418.0,0.8492063492063492,440.0,64.0,1838022144.0,24.0,747.0,76.0,223.0,384.0,1458157734.0,126.0,53.0,948.0,5.0,3.0,0.0,4.0,0.0,1.0,212.08583
3.0,6.0,0.6396825396825396,1311667418.0,0.8492063492063492,477.0,64.0,1838022144.0,24.0,747.0,76.0,223.0,384.0,1458053500.0,126.0,53.0,948.0,5.0,3.0,0.0,4.0,0.0,1.0,212.08583
1.0,6.0,0.6396825396825396,1337492160.0,0.626984126984127,327.0,64.0,1838022148.0,24.0,747.0,76.0,223.0,384.0,1458157734.0,126.0,53.0,820.0,5.0,3.0,0.0,4.0,0.0,1.0,212.08583
3.0,7.0,0.6460317460317461,1311731930.0,0.8492063492063492,440.0,56.0,1832418820.0,24.0,747.0,76.0,223.0,384.0,1458157734.0,126.0,53.0,820.0,5.0,3.0,0.0,4.0,0.0,1.0,212.08583
3.0,5.0,0.6396825396825396,1244623082.0,0.8492063492063492,440.0,56.0,1765279749.0,32.0,747.0,76.0,223.0,399.0,1458157734.0,126.0,50.0,948.0,5.0,3.0,0.0,4.0,0.0,1.0,211.98839
4.0,7.0,0.6714285714285715,1293826602.0,0.5825396825396826,440.0,56.0,1769474053.0,32.0,748.0,76.0,223.0,399.0,1458157734.0,126.0,50.0,770.0,4.0,6.0,0.0,4.0,0.0,1.0,211.98946
1.0,7.0,0.6714285714285715,1293892138.0,0.6460317460317461,327.0,54.0,1837959173.0,32.0,747.0,76.0,220.0,399.0,1424603318.0,126.0,50.0,770.0,4.0,6.0,0.0,4.0,0.0,1.0,211.98903
5.0,6.0,0.6396825396825396,1184840256.0,0.6333333333333333,327.0,54.0,1837893637.0,32.0,747.0,76.0,220.0,399.0,1424603318.0,126.0,50.0,770.0,4.0,4.0,0.0,4.0,0.0,0.0,211.98839
3.0,5.0,0.626984126984127,1320883545.0,0.5317460317460317,332.0,54.0,1770850437.0,32.0,998.0,76.0,222.0,399.0,1458157750.0,126.0,51.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,211.81886
1.0,5.0,0.626984126984127,1324549464.0,0.5317460317460317,332.0,54.0,1769474309.0,32.0,685.0,76.0,223.0,384.0,1392097462.0,126.0,51.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,211.81886
4.0,7.0,0.6333333333333333,1093357855.0,0.8428571428571429,477.0,54.0,2141191332.0,22.0,734.0,95.0,243.0,384.0,1122611830.0,126.0,50.0,800.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
3.0,5.0,0.6333333333333333,1076580645.0,0.8301587301587301,477.0,55.0,1892519424.0,35.0,749.0,95.0,243.0,384.0,1391042940.0,126.0,50.0,800.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
5.0,6.0,0.6333333333333333,1093357855.0,0.8428571428571429,479.0,54.0,2132802724.0,22.0,699.0,95.0,243.0,384.0,1122611830.0,126.0,26.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
4.0,6.0,0.6333333333333333,1093357919.0,0.8428571428571429,479.0,54.0,2132802724.0,22.0,699.0,95.0,243.0,384.0,1122579062.0,126.0,26.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
3.0,6.0,0.6333333333333333,1076589093.0,0.6333333333333333,478.0,51.0,1892676773.0,35.0,749.0,95.0,243.0,384.0,1391047285.0,126.0,50.0,800.0,5.0,4.0,1.0,4.0,0.0,0.0,211.81886
5.0,6.0,0.6333333333333333,1093357919.0,0.8301587301587301,498.0,54.0,2132802725.0,34.0,747.0,76.0,220.0,399.0,1558803062.0,126.0,26.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
4.0,7.0,0.626984126984127,1076169821.0,0.6333333333333333,361.0,55.0,2026688000.0,22.0,699.0,93.0,243.0,384.0,1120516134.0,126.0,50.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
3.0,6.0,0.6333333333333333,1076169805.0,0.6333333333333333,361.0,55.0,2026688000.0,30.0,699.0,93.0,243.0,388.0,1558803062.0,126.0,26.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
4.0,7.0,0.6333333333333333,1194678337.0,0.6333333333333333,361.0,55.0,1864088741.0,34.0,653.0,79.0,220.0,407.0,1120516134.0,126.0,50.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
4.0,6.0,0.6333333333333333,1080254052.0,0.8301587301587301,480.0,54.0,1562311844.0,21.0,692.0,76.0,218.0,386.0,1156149878.0,126.0,29.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
3.0,7.0,0.6333333333333333,1180856779.0,0.8301587301587301,498.0,52.0,2132802724.0,33.0,747.0,76.0,218.0,386.0,1089041014.0,126.0,26.0,512.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
3.0,7.0,0.6333333333333333,1246130491.0,0.8365079365079365,479.0,54.0,2132470948.0,21.0,692.0,76.0,218.0,384.0,1122613878.0,126.0,26.0,576.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
2.0,5.0,0.6333333333333333,1227586124.0,0.8301587301587301,440.0,55.0,1302310432.0,22.0,699.0,93.0,243.0,384.0,1122607484.0,126.0,50.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
4.0,6.0,0.626984126984127,1361443085.0,0.8301587301587301,414.0,56.0,1562361892.0,18.0,567.0,93.0,243.0,386.0,1080685174.0,126.0,26.0,768.0,5.0,4.0,0.0,4.0,0.0,0.0,211.81886
