spark.memory.fraction,spark.maxRemoteBlockSizeFetchToMem,spark.executor.memoryOverhead,spark.executor.instances,spark.reducer.maxBlocksInFlightPerAddress,spark.shuffle.io.numConnectionsPerPeer,spark.memory.offHeap.size,spark.shuffle.sort.bypassMergeThreshold,spark.default.parallelism,runtime
0.6460317460317461,1621138175.0,449.0,8.0,1818634752.0,4.0,0.0,232.0,334.0,207.30343999999994
0.6841269841269841,1369483963.0,449.0,8.0,1816537600.0,4.0,514.0,206.0,334.0,213.67701
0.6841269841269841,1403578035.0,450.0,8.0,1863445000.0,4.0,514.0,206.0,334.0,211.65493000000004
0.6777777777777778,1106923318.0,423.0,8.0,2101210720.0,4.0,40.0,332.0,295.0,210.13560999999984
0.6333333333333333,1134620976.0,425.0,8.0,2084433504.0,4.0,8.0,326.0,296.0,210.11858999999987
0.6333333333333333,1133572400.0,425.0,8.0,2096983584.0,4.0,8.0,326.0,296.0,210.11858999999987
0.6777777777777778,1232755857.0,429.0,8.0,1892052599.0,4.0,513.0,282.0,257.0,210.59390999999997
0.6015873015873016,1607053085.0,415.0,8.0,1551613540.0,4.0,69.0,326.0,295.0,213.8272599999999
0.5190476190476191,1565110055.0,416.0,8.0,1585325802.0,4.0,491.0,246.0,220.0,215.59061999999992
0.5190476190476191,1102093385.0,384.0,8.0,1940106904.0,4.0,768.0,338.0,323.0,212.42068999999992
0.6523809523809524,1199346772.0,450.0,8.0,2037116450.0,5.0,41.0,319.0,444.0,210.46696999999986
0.6460317460317461,1172436605.0,453.0,8.0,1940630704.0,5.0,235.0,177.0,291.0,210.53108
0.6333333333333333,1103656872.0,425.0,8.0,1985361929.0,4.0,107.0,196.0,201.0,210.19427999999988
0.626984126984127,1287114988.0,457.0,8.0,1981233416.0,4.0,107.0,196.0,206.0,211.3190299999999
0.5,1337907168.0,458.0,8.0,1981757704.0,4.0,107.0,171.0,206.0,211.29767999999993
0.5,1337378930.0,397.0,8.0,1948195080.0,4.0,107.0,171.0,206.0,210.3415999999999
0.6777777777777778,1278833902.0,398.0,8.0,1985427162.0,4.0,108.0,190.0,215.0,210.1436099999999
0.6777777777777778,1279095809.0,453.0,8.0,1853220162.0,4.0,38.0,297.0,215.0,210.77833999999993
0.6460317460317461,1439433551.0,398.0,8.0,1913861659.0,4.0,584.0,269.0,211.0,210.03351999999992
0.626984126984127,1473025366.0,397.0,8.0,1879254559.0,4.0,599.0,271.0,211.0,210.93503999999996
0.6587301587301587,1532520021.0,438.0,8.0,1968408916.0,4.0,71.0,239.0,290.0,209.99979999999988
0.5952380952380952,1286489775.0,409.0,8.0,1964163343.0,4.0,71.0,226.0,290.0,210.3415999999999
0.6396825396825396,1116939450.0,423.0,8.0,2010327778.0,5.0,782.0,220.0,234.0,210.43658999999997
0.5507936507936508,1313870157.0,447.0,8.0,1889970975.0,4.0,178.0,290.0,304.0,209.7148099999999
0.5253968253968254,1186099286.0,450.0,8.0,2127760034.0,5.0,974.0,220.0,234.0,209.86750999999992
0.5126984126984127,1169887025.0,454.0,8.0,1890694328.0,4.0,433.0,228.0,300.0,211.71976999999998
0.665079365079365,1259563011.0,455.0,8.0,1951542423.0,4.0,481.0,341.0,220.0,212.17549
0.5190476190476191,1305478474.0,483.0,8.0,1882764592.0,4.0,439.0,228.0,300.0,212.83859999999996
0.665079365079365,1104550324.0,457.0,8.0,1403475957.0,4.0,769.0,276.0,380.0,216.74053999999995
0.5888888888888889,1253135368.0,409.0,8.0,1915335984.0,4.0,910.0,245.0,214.0,210.82614
