spark.executor.memory,spark.executor.cores,spark.kryoserializer.buffer,spark.executor.memoryOverhead,spark.reducer.maxReqsInFlight,spark.memory.fraction,spark.shuffle.compress,runtime
12.0,6.0,126.0,1450.0,1491880281.0,0.6841269841269841,0.0,274.13964
11.0,6.0,111.0,973.0,1702985216.0,0.7158730158730159,0.0,273.16881999999987
14.0,6.0,121.0,1618.0,1966699635.0,0.607936507936508,0.0,271.14657999999986
14.0,6.0,122.0,1275.0,2100385395.0,0.5063492063492063,0.0,271.2919999999998
13.0,6.0,122.0,1321.0,1460950259.0,0.626984126984127,0.0,271.30230999999986
14.0,6.0,123.0,1466.0,1508416659.0,0.8873015873015873,0.0,271.2919999999998
12.0,6.0,119.0,979.0,1885895680.0,0.6333333333333333,0.0,271.9286999999999
13.0,7.0,119.0,1373.0,1718636162.0,0.5,0.0,271.6734799999999
13.0,6.0,120.0,786.0,1391806624.0,0.8873015873015873,0.0,271.31770999999986
12.0,6.0,120.0,957.0,1999500911.0,0.5825396825396826,0.0,271.9286999999999
14.0,6.0,119.0,734.0,1408261313.0,0.7476190476190476,0.0,271.30739999999986
13.0,7.0,119.0,1038.0,1253129392.0,0.7920634920634921,0.0,271.6734799999999
13.0,7.0,120.0,1486.0,1130976612.0,0.6333333333333333,0.0,271.6734799999999
13.0,7.0,120.0,1247.0,2082026218.0,0.8936507936507936,0.0,271.6734799999999
13.0,7.0,120.0,702.0,1407716750.0,0.5380952380952381,0.0,271.6734799999999
14.0,6.0,119.0,935.0,1702578481.0,0.7095238095238096,0.0,271.30739999999986
13.0,7.0,121.0,1039.0,1733889480.0,0.5888888888888889,0.0,271.5126599999999
14.0,6.0,120.0,1436.0,1733329607.0,0.7031746031746031,0.0,271.30739999999986
14.0,6.0,121.0,483.0,1635494663.0,0.5063492063492063,0.0,271.14657999999986
14.0,6.0,123.0,1563.0,1630574103.0,0.7793650793650794,0.0,271.2919999999998
13.0,6.0,117.0,1499.0,1122123811.0,0.665079365079365,0.0,272.4451599999999
14.0,6.0,120.0,473.0,2098278912.0,0.5190476190476191,0.0,271.30739999999986
13.0,6.0,121.0,473.0,2106712576.0,0.5190476190476191,0.0,271.15688999999986
13.0,6.0,118.0,1594.0,2061223282.0,0.7920634920634921,0.0,272.1461199999999
14.0,7.0,121.0,1555.0,1524310398.0,0.7285714285714285,0.0,271.5023499999999
14.0,6.0,123.0,1087.0,1791453415.0,0.5126984126984127,0.0,271.2919999999998
13.0,6.0,120.0,1687.0,1371878768.0,0.5063492063492063,0.0,271.31770999999986
13.0,7.0,122.0,1539.0,1908739323.0,0.753968253968254,0.0,271.6580799999999
14.0,6.0,123.0,1705.0,1448505187.0,0.5253968253968254,0.0,271.2919999999998
14.0,6.0,121.0,1705.0,1314287439.0,0.5253968253968254,0.0,271.14657999999986
