spark.kryoserializer.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.shuffle.partitions,spark.scheduler.revive.interval,spark.executor.memoryOverhead,spark.shuffle.file.buffer,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.default.parallelism,runtime
118.0,13639741.0,290.0,960.0,718.0,40.0,3.0,5.0,7.0,345.0,1502.8517
119.24606483399634,13252865.602288585,282.6133058155377,938.9352191853591,760.6502527412817,37.98459747349597,3.0,4.896764015901723,7.0,322.46658326941383,1502.3456
101.53457015067343,13320747.58142316,287.77271382842923,946.0514648920588,778.7263118907763,39.46986456790346,2.7687277260792547,4.15590537683204,7.0,339.8513467043729,1502.6547
101.53457015067343,13320747.58142316,287.77271382842923,946.0514648920588,778.7263118907763,39.46986456790346,2.7687277260792547,4.15590537683204,7.0,339.8513467043729,1502.6547
102.53549004350921,15050592.352165105,271.1141779042975,609.8325208057614,614.4419344410824,41.94014747109872,1.703308022810066,6.205075772698521,3.0,404.61157322629356,1501.9261
94.0603251219438,13319877.273980811,288.4159270335866,916.316322535096,794.6867989979187,38.97437820801534,2.772756819639034,4.0,7.0,295.71456681110254,1499.9803
94.27606046790005,13398235.932144858,288.54679474307926,895.6666596991115,804.2478363042815,38.577254681866556,2.8075051601444705,4.017730499452912,7.0,297.1106374155804,1499.9803
94.20228004931941,13213782.040113382,287.3598303152983,859.0285133444232,828.259098723702,38.92576624590128,2.7745183833162126,4.110997586748747,5.725482135029271,303.5106031520928,1499.9803
101.83328901905877,15660918.383544413,267.62907196935964,688.01032004496,653.2479478976861,38.88333278727373,2.0318268735162146,6.536825375308498,3.8899569419230318,366.0686707349572,1501.902
99.78796883091775,8456118.7065138,270.41674587057986,641.2725660434471,630.5955463030846,42.60452341498163,1.5069773376392446,7.132382854656429,4.361681706101265,374.1654904794275,1482.4888
98.3429013127756,9262129.99978132,271.8773038097532,645.448134631377,654.4663796945715,42.46313185901687,1.0,7.21158784215186,3.0,372.8560161876426,1482.4888
95.91523604860751,6916291.177099593,271.85100543559355,618.9110992512364,654.548749412447,43.26292597270863,1.3307013692502596,6.986075769082657,3.0171113041157347,437.48861135256186,1482.4624
98.91205889608688,8436085.095172606,272.05713546507917,607.6333402558239,653.3421121574165,43.288500805284386,1.0,7.12138317055364,3.524029931432415,356.8045225465729,1481.5571
97.65962163887257,8483791.152318701,273.51169960268817,606.8798184865075,656.6097892172272,43.86517413937298,1.145645480803351,7.050588537592908,3.4308577080518967,372.62309855880216,1482.4888
96.68278433342385,8474642.682793925,274.52020789448284,606.3673803385998,654.7042877274738,44.277640872438155,1.1405879318117351,7.079178530379307,3.4136749642042763,371.83708617872696,1482.4333
96.50745611074178,8486169.200960305,273.83394506460377,605.5591059694289,654.4355744810734,44.14269408896541,1.042183645618439,7.080827242066022,3.3642454400225854,372.45066649859814,1482.4333
96.67647161276636,8358503.638090488,274.2539142843302,606.9417573553935,654.6021155846279,44.070908177241975,1.1458965032786879,7.059969058919709,3.422254120090842,372.1846554008766,1482.4333
96.3636090662275,8085267.47238427,273.94414773989314,606.1030120944508,654.7762903353894,44.35993519696464,1.104522454271419,7.081327556553194,3.4084138643129203,371.59199850276224,1482.4333
96.24780030402658,8381937.590214972,274.0537574635099,607.7931238222914,852.7246722141348,44.25828214086718,1.20607811141126,7.058627639699264,3.4890734717595584,370.3998457384696,1482.4333
96.28660868748064,8343141.370894661,274.31284889615335,606.4607589490084,654.3669214231404,43.94262574364117,1.1922669243820092,7.040088872445497,3.433889268719282,372.3231828766895,1482.4333
96.71217555104566,8640948.219012426,274.38325431534395,611.332650870955,655.1458838098977,44.2113335305112,1.0,7.06775059922613,3.411686835787207,369.57775180848057,1482.4333
108.54702695454853,8463494.20713679,272.82238235966037,608.2135661875725,877.0,43.79529227438496,1.304897203174618,7.047132819448957,3.4395373576492316,370.62757086911955,1470.0103
108.54702695454853,8463494.20713679,272.82238235966037,608.2135661875725,877.0,43.79529227438496,1.304897203174618,7.047132819448957,3.4395373576492316,370.62757086911955,1470.0103
117.03831864092137,8200544.592025343,276.36962444110384,606.9828547995554,684.2349645644689,44.78736056454217,1.230909678188366,7.04766049245198,3.461944658438624,372.7356068084239,1470.0103
116.78893588219424,8437866.188815933,273.1595043969676,609.1361484072104,862.4282159601337,44.0111299732106,1.326962049460442,7.052318463028092,3.4383910670096776,370.42368077993376,1470.0103
128.0,8544142.20172129,273.0113530904614,607.6043078421714,828.9590258695378,44.5679045049412,1.2083333518464774,7.0470381342286625,3.4469306380477986,330.09420286562715,1469.0046
125.12327170270761,8518989.07535847,272.97661162041163,604.5389845008126,808.725208059522,42.21067602173541,1.2094552610963478,7.046303771740854,3.445994648072904,316.0609241808431,1468.6772
126.15707635733415,9398403.746919438,273.6734390266281,607.64745023701,831.5662307008425,44.350754595222796,1.2347056150720548,7.047299656215976,3.438770285272031,329.9468344863594,1469.0046
127.10055451590114,8868625.273869913,273.04026487860415,607.6327683722419,832.6976371241376,44.65355055169371,1.2124803500162509,7.043808929763263,3.443570095605603,326.78652600052146,1469.0046
126.91136993472074,8508509.156319328,272.90688598747425,607.958111128355,804.0698958866102,44.46367720585633,1.190698535429372,7.043223262261575,3.637950188241987,348.78159655273396,1469.0046
