spark.default.parallelism,spark.memory.fraction,runtime
437.0,0.5888888888888889,385.2398496685606
208.0,0.7984126984126985,385.2398496685606
223.0,0.8873015873015873,385.2398496685606
408.0,0.8047619047619048,385.2398496685606
330.0,0.6523809523809524,385.2398496685606
477.0,0.861904761904762,385.2398496685606
354.0,0.5825396825396826,385.2398496685606
321.0,0.7095238095238096,385.2398496685606
479.0,0.734920634920635,385.2398496685606
295.0,0.8365079365079365,385.2398496685606
464.0,0.8492063492063492,385.2398496685606
412.0,0.7031746031746031,385.2398496685606
260.0,0.5317460317460317,385.2398496685606
359.0,0.5253968253968254,385.2398496685606
444.0,0.5190476190476191,385.2398496685606
462.0,0.7857142857142857,385.2398496685606
405.0,0.7285714285714285,385.2398496685606
418.0,0.8238095238095238,385.2398496685606
209.0,0.5253968253968254,385.2398496685606
387.0,0.6714285714285715,385.2398496685606
354.0,0.607936507936508,385.2398496685606
387.0,0.7095238095238096,385.2398496685606
337.0,0.5571428571428572,385.2398496685606
497.0,0.5507936507936508,385.2398496685606
431.0,0.626984126984127,385.2398496685606
448.0,0.6523809523809524,385.2398496685606
339.0,0.753968253968254,385.2398496685606
351.0,0.5253968253968254,385.2398496685606
451.0,0.8492063492063492,385.2398496685606
207.0,0.5571428571428572,385.2398496685606
