spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.reducer.maxSizeInFlight,spark.default.parallelism,spark.executor.memoryOverhead,spark.reducer.maxReqsInFlight,spark.maxRemoteBlockSizeFetchToMem,spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,runtime
3.0,7.0,6.0,51.0,304.0,672.0,1469606656.0,1614295936.0,0.0,0.734920634920635,0.7476190476190476,199.80528627523242
4.0,6.0,7.0,57.0,262.0,646.0,1542786993.0,1586941702.0,0.0,0.8238095238095238,0.753968253968254,190.33738086439655
4.0,5.0,7.0,51.0,231.0,672.0,1469606656.0,1613386468.0,0.0,0.734920634920635,0.7476190476190476,189.70230386992233
4.0,7.0,7.0,54.0,304.0,645.0,1524259840.0,1581617415.0,2.0,0.734920634920635,0.734920634920635,185.6635460221603
4.0,7.0,7.0,54.0,276.0,645.0,1530825413.0,1799787469.0,258.0,0.7984126984126985,0.8809523809523809,180.70123087654093
4.0,6.0,7.0,54.0,309.0,645.0,1524259840.0,1581617423.0,512.0,0.734920634920635,0.734920634920635,185.6635460221603
4.0,6.0,7.0,54.0,283.0,645.0,1530825349.0,1799794879.0,768.0,0.734920634920635,0.734920634920635,184.9635978761958
4.0,6.0,7.0,52.0,292.0,684.0,1483754505.0,1115356792.0,768.0,0.8111111111111111,0.7158730158730159,177.81274322336589
3.0,7.0,7.0,69.0,333.0,645.0,1541835784.0,1649667289.0,512.0,0.8047619047619048,0.7476190476190476,182.04646201104802
4.0,7.0,7.0,50.0,296.0,645.0,1524971937.0,1111863679.0,512.0,0.7412698412698413,0.8174603174603174,185.54058469440213
3.0,7.0,7.0,54.0,278.0,645.0,1524259841.0,1799784015.0,544.0,0.7285714285714285,0.7476190476190476,182.69070116613855
4.0,6.0,7.0,51.0,294.0,767.0,1490913288.0,1602110908.0,16.0,0.734920634920635,0.734920634920635,180.07946206628262
4.0,7.0,7.0,60.0,347.0,699.0,1524259840.0,1963738409.0,2.0,0.8238095238095238,0.7158730158730159,184.49238053050075
3.0,7.0,7.0,60.0,225.0,644.0,1530694336.0,1609319805.0,2.0,0.8238095238095238,0.7158730158730159,181.75673840478845
4.0,4.0,7.0,60.0,337.0,699.0,1528454592.0,1609188985.0,2.0,0.8238095238095238,0.7158730158730159,180.29333848862527
3.0,6.0,7.0,56.0,307.0,707.0,1532648448.0,1541949066.0,74.0,0.734920634920635,0.7158730158730159,184.32990393829746
4.0,6.0,7.0,51.0,220.0,644.0,1538800274.0,1699368739.0,576.0,0.8111111111111111,0.7412698412698413,182.7917795141682
3.0,7.0,7.0,66.0,270.0,645.0,1392925924.0,1944768233.0,576.0,0.8111111111111111,0.7222222222222222,180.84747967110366
4.0,5.0,7.0,66.0,225.0,644.0,1514670528.0,1564884509.0,337.0,0.8365079365079365,0.6777777777777778,181.81398145361808
4.0,5.0,7.0,66.0,273.0,644.0,1523355077.0,1600860027.0,849.0,0.8365079365079365,0.6777777777777778,180.36966126359448
3.0,5.0,7.0,66.0,273.0,644.0,1523092886.0,1269321395.0,64.0,0.8111111111111111,0.8809523809523809,180.36966126359448
3.0,6.0,7.0,66.0,273.0,645.0,1511770646.0,1671974483.0,64.0,0.8111111111111111,0.8809523809523809,180.36966126359448
3.0,6.0,7.0,66.0,221.0,644.0,1536938006.0,1690715726.0,64.0,0.8238095238095238,0.8809523809523809,182.17722583254653
4.0,5.0,7.0,66.0,204.0,643.0,1536946194.0,1153844942.0,64.0,0.8238095238095238,0.8809523809523809,182.1384271407741
4.0,5.0,7.0,72.0,289.0,644.0,1296194582.0,1626025849.0,72.0,0.8365079365079365,0.8809523809523809,182.73941868218787
3.0,5.0,7.0,63.0,338.0,644.0,1403411478.0,1340626364.0,59.0,0.8111111111111111,0.6777777777777778,181.97857975011453
4.0,6.0,7.0,49.0,222.0,644.0,1532710934.0,1695663693.0,67.0,0.9,0.5761904761904761,182.27604606238702
4.0,7.0,7.0,66.0,273.0,644.0,1532710934.0,1967303956.0,337.0,0.9,0.5761904761904761,180.094986214984
3.0,6.0,7.0,66.0,277.0,644.0,1296326197.0,1967303332.0,342.0,0.8111111111111111,0.7222222222222222,179.76657382616614
4.0,4.0,7.0,66.0,279.0,644.0,1296326197.0,1679093064.0,342.0,0.8111111111111111,0.7476190476190476,179.5259515808419
