,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
16,233.956,45.05544931896724,0.6753583767375451,0.8424713676358578,450.66914618417184,4.705157921094503,8.461315033861762,12.87240724509389,1039.2379610844785,105.12288624066026,90.18622285863502,3.930855331731606,1972088413.9986064,0.6910235967190235,0.6093719261929791,700.5334083860995,0.7862069928096305,0.46348390045701504,1498722312.2634406,1391656383.1809573,64.04432495249492,0.34405360912872573,706.182656566231,0.5844729752185285,16.742339196640035,3.1962404524715535,441.36743005930623,3.287849417824937
17,421.962,63.51585683430949,0.11399882529129446,0.7841399242082348,267.7442611119424,4.648474599756343,10.6542720492624,9.58806637337115,1001.5301082138528,100.7274787832448,81.307308504862,4.27381412082048,1794401552.0555296,0.6028738582574952,0.33912202871205854,381.887202303644,0.6840168165621068,0.3949715120881202,1274592124.8918326,1131637895.4609542,58.7422288953225,0.47766537024182276,549.4589799727381,0.7264144102607002,40.98174880797757,2.5131753901061553,369.23765851927,4.368564795072983
18,248.245,59.52766262373405,0.381685185426367,0.5739188149413437,278.1811224782962,4.296350852049374,12.25002554145054,10.199420752349383,864.7193091624024,94.95924471035653,47.35856979325234,1.4158413104890497,2045307602.1996207,0.6653079506312931,0.7052329980641687,930.0982409960092,0.7578713570700304,0.08424314890509266,1323511023.4820924,1541176020.7617574,43.0763860284029,0.14538575239594698,701.5460278281563,0.699470590955899,34.14674541733667,2.3726624716669935,465.47546374327385,4.882184277465858
19,261.41,31.552426756189274,0.2616586825176058,0.551649848352611,208.6483111870452,4.23447497576112,10.118332185347715,10.063250607327333,760.7394602350942,118.21302243537512,32.37886459038849,6.597513020201571,1549578693.0354729,0.6690791929326931,0.6626999144423565,861.0755169313886,0.815857453636962,0.3141445626512128,1871929373.9353976,1172260797.4662035,61.40374690419581,0.5630800058247334,674.3220996256568,0.701355765653374,24.56960710952141,3.498237807586071,389.42114533996295,5.132444795178365
20,261.41,10.950665107647454,0.07364737247333608,0.5584392401983372,445.5545120170226,6.917544857493491,9.675835990657378,13.205571349081932,608.4428037732417,41.99019054568298,61.91462898379683,4.7794397006830955,2021013775.6453583,0.6571814037404378,0.11154263017507804,788.905781564202,0.595949187598856,0.31619690734200423,1249572407.3437846,2018422509.4722152,33.2523732448466,0.4383135336681899,748.5078024204117,0.9892728972986514,20.703578148097737,4.421647669194604,267.8908876601612,7.9418044704652
21,905.663,51.165372720776354,0.105073144253227,0.7018138645991442,280.18987867453717,4.031765920559001,9.60916382930597,10.081451220586047,632.9200449145217,55.34857983969222,74.36210784529433,2.3446814477433127,2106679522.369434,0.6977122836200824,0.2727202533414219,877.10599380045,0.7840210117579376,0.4237882245050243,1176110961.5552123,1392132104.2699018,41.8526987445643,0.7469799217574157,891.6219897451671,0.49326714078040523,21.61247314166074,2.686282350321035,389.2704603097694,3.197019908511461
22,450.548,48.00644080857038,0.44313404559907554,0.02137903608233227,440.8164438727832,5.096271319780671,9.09207469512082,10.787578074928124,1095.0926099748744,92.66900730894112,127.55177738996515,7.028642163650124,1661193861.8035913,0.8627173196467961,0.5331136009566859,536.3630124572771,0.6331993788741832,0.2618574637033285,1226495937.3311806,1110689413.5398045,61.16073986064795,0.9733574694681935,722.6966542557261,0.538013192946581,20.59957629896343,3.923293815480439,437.8226497676067,2.952596575986966
23,338.006,7.177734888409877,0.7634696002969796,0.35450219459517185,321.04122077612624,5.393946703372715,8.777941580005386,12.08741063348967,833.595582683721,88.1932417958986,67.25129282527449,1.6465421440047807,1500363825.8170424,0.8932043231121947,0.5946921902029674,627.8322173121403,0.6089506548339559,0.5469218901471669,1267503482.3179002,1553283837.9463983,60.976266047481246,0.1001079156264395,516.2114807486785,0.6034526651475726,36.83865554831312,4.834057821225401,104.01765168916728,6.212962700598573
24,674.865,39.796907342231506,0.381719893617427,0.40515004086351214,268.2637629270911,4.865741693310027,12.350333816514228,9.687737911636864,1380.096975641677,104.96599852692695,39.67266195572827,7.278866823565432,1590861381.3118393,0.6058835336906305,0.2807240829968679,762.1417936778026,0.6145493952939203,0.34464597166430955,1252327634.999372,1085369782.9248748,54.60837248671521,0.8726899756616584,774.379286247575,0.5694816661042473,23.551180285723042,2.855948440661356,445.5466353245365,6.581462596869659
25,913.52,44.9432300105577,0.8118541264455323,0.6814745734261551,260.51081801876865,4.836016860304002,9.59940056350742,8.227237977901297,1180.058345287849,117.74265573435449,58.03476197397718,3.587922965461631,1622082048.4161954,0.8120472839611643,0.8117552902289551,419.250561812153,0.7631302250942644,0.238960640172461,1619762587.5562062,1143936034.705254,62.02416968034852,0.34932607611651456,907.9884182674773,0.5299290994225245,21.062631417436855,1.2724020052767182,492.93996873895287,5.442521827205889
