,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,213.83  [1],213.83,43,0,1,411,3,5,3,599,65,123,6,1733861883,0.73,0,270,0.55,1,1119840090,2038148394,44,0,786,1,42,1,304,4
2,252.537  [2],252.537,59,0,1,207,2,7,7,775,121,37,9,1178550042,0.57,0,674,0.78,0,1353701934,1235092101,51,0,517,1,17,1,155,3
3,383.32  [3],383.32,46,1,0,244,1,7,3,804,116,62,6,1843069434,0.6,0,1018,0.85,0,1475975448,1238780366,68,0,635,1,31,1,151,3
4,256.526  [4],256.526,41,0,1,417,3,5,3,589,66,124,6,1731941376,0.720000029,0,262,0.560000002,1,1122700800,2071521664,44,0,786,1,41,1,300,4
5,255.797  [5],255.797,43,0,1,419,3,5,3,604,64,121,6,1724312064,0.730000019,0,205,0.569999993,1,1164940032,2032994432,43,0,804,1,43,1,301,4
6,270.157  [6],270.157,46,0,1,389,3,5,4,619,69,100,6,1663671808,0.720000029,0,338,0.629999995,1,1351364864,1872136832,45,0,778,1,38,1,272,3
7,213.807  [7],213.807,42,0,1,402,3,5,3,601,66,120,6,1762526208,0.730000019,0,280,0.550000012,1,1118996992,2000530432,43,0,790,1,43,1,297,4
8,262.504  [8],262.504,42,0,1,426,3,5,3,622,66,122,6,1742482176,0.720000029,0,309,0.529999971,1,1073741824,1999815168,45,0,790,1,42,1,301,4
9,254.137  [9],254.137,45,0,1,404,3,5,4,610,72,113,6,1721526528,0.699999988,0,338,0.600000024,1,1277100672,1937947904,44,0,778,1,36,1,286,3
10,175.654  [10],175.654,64,0,0,429,3,7,5,802,54,68,7,1663695849,0.67,1,612,0.53,0,1140189452,1842404348,32,0,833,0,42,2,188,2
