,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0,28,1,0,370,5,12,13,1073,111,98,5,1200366245,0.74,0,297,0.71,1,1692908495,1741983426,44,0,763,1,39,3,443,10,262.669
1,14,0,0,358,5,13,13,1173,33,66,1,1136382365,0.57,1,154,0.69,1,1848844734,1121417540,66,0,855,1,19,1,271,1,351.79
2,34,1,0,478,5,8,10,957,68,66,9,1435323252,0.6,1,55,0.89,1,1378015560,2018511272,53,1,976,0,21,1,168,5,661.4
3,32.0,1.0,0.0,369.0,4.0,9.0,10.0,877.0,110.0,98.0,5.0,1226909056.0,0.7200000286102295,0.0,303.0,0.7099999785423279,1.0,1702687104.0,1762992768.0,45.0,0.0,764.0,1.0,39.0,3.0,350.0,8.0,250.268
4,32.0,1.0,0.0,368.0,4.0,9.0,10.0,877.0,108.0,96.0,5.0,1228837504.0,0.7200000286102295,0.0,306.0,0.7099999785423279,1.0,1686744064.0,1756950784.0,43.0,0.0,764.0,1.0,40.0,3.0,350.0,8.0,723.715
5,34.0,1.0,0.0,362.0,4.0,9.0,10.0,877.0,101.0,94.0,6.0,1312211968.0,0.7099999785423279,0.0,354.0,0.7099999785423279,1.0,1659764480.0,1740709888.0,45.0,0.0,761.0,1.0,38.0,3.0,350.0,8.0,252.609
6,32.0,1.0,0.0,378.0,4.0,8.0,8.0,868.0,110.0,98.0,5.0,1220716032.0,0.7099999785423279,0.0,304.0,0.7099999785423279,1.0,1672898048.0,1735287808.0,46.0,0.0,767.0,1.0,39.0,3.0,348.0,6.0,678.946
7,32.0,1.0,0.0,369.0,4.0,8.0,8.0,863.0,113.0,97.0,5.0,1203054976.0,0.7200000286102295,0.0,310.0,0.7099999785423279,1.0,1712350336.0,1777047808.0,46.0,0.0,757.0,1.0,41.0,3.0,350.0,6.0,690.9
8,36.0,1.0,0.0,359.0,3.0,8.0,8.0,781.0,99.0,92.0,5.0,1296594048.0,0.7200000286102295,0.0,379.0,0.7099999785423279,1.0,1709444864.0,1754296832.0,44.0,0.0,764.0,1.0,38.0,3.0,331.0,6.0,593.14
9,4.0,0.0,0.0,427.0,6.0,8.0,8.0,1489.0,112.0,89.0,8.0,2102990459.0,0.78,1.0,564.0,0.81,0.0,1530082197.0,1275897957.0,48.0,0.0,739.0,0.0,39.0,5.0,282.0,5.0,1045.74
10,12.0,0.0,0.0,425.0,5.0,11.0,14.0,1309.0,72.0,87.0,1.0,1756901021.0,0.6,0.0,796.0,0.73,1.0,1524044551.0,1294271505.0,54.0,1.0,730.0,0.0,16.0,2.0,283.0,4.0,300.569
11,58.0,0.0,0.0,283.0,5.0,10.0,12.0,1401.0,32.0,55.0,2.0,1714312276.0,0.67,0.0,540.0,0.54,1.0,1378423850.0,1537979291.0,43.0,1.0,632.0,1.0,17.0,1.0,347.0,9.0,253.497
