spark.memory.fraction,spark.locality.wait,spark.reducer.maxReqsInFlight,runtime
0.626984126984127,1.0,1850711707.0,228.92907679156727
0.6460317460317461,10.0,1460909733.0,293.3439541936888
0.734920634920635,1.0,1989414528.0,271.67876195729497
0.6142857142857143,10.0,1160756094.0,293.3439541936888
0.7793650793650794,1.0,1804243456.0,271.67876195729497
0.6142857142857143,10.0,1231346294.0,293.3439541936888
0.734920634920635,1.0,1989887107.0,271.67876195729497
0.6142857142857143,10.0,1452587510.0,293.3439541936888
0.734920634920635,1.0,2053818752.0,271.67876195729497
0.665079365079365,10.0,1419048958.0,293.3439541936888
0.734920634920635,1.0,1804602880.0,271.67876195729497
0.6142857142857143,10.0,1410648059.0,293.3439541936888
0.734920634920635,1.0,1806643712.0,271.67876195729497
0.665079365079365,10.0,1198308350.0,293.3439541936888
0.734920634920635,1.0,1796876289.0,271.67876195729497
0.665079365079365,10.0,1419246078.0,293.3439541936888
0.734920634920635,1.0,2048066689.0,271.67876195729497
0.6142857142857143,10.0,1432681470.0,293.3439541936888
0.7857142857142857,1.0,2070619264.0,271.67876195729497
0.665079365079365,10.0,1416018939.0,293.3439541936888
0.7857142857142857,1.0,1795228672.0,271.67876195729497
0.6142857142857143,10.0,1419048958.0,293.3439541936888
0.7857142857142857,1.0,1802176640.0,271.67876195729497
0.665079365079365,10.0,1425339390.0,293.3439541936888
0.734920634920635,1.0,1768637440.0,271.67876195729497
0.6142857142857143,10.0,1452588030.0,293.3439541936888
0.734920634920635,1.0,2070612096.0,271.67876195729497
0.6142857142857143,10.0,1419031550.0,293.3439541936888
0.7857142857142857,1.0,1801651201.0,271.67876195729497
0.6142857142857143,10.0,1185217534.0,293.3439541936888
